query_id,engine_id,lake_id,config,latency
tpcds_q_1,0,0,0.5;0.5;256.0;8.0;8.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,8898.505516000001
tpcds_q_1,0,0,0.499345510453;0.2490164503455;923.0;7.0;60.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,7720.819136
tpcds_q_1,0,0,0.7923849821091;0.6932743646204;452.0;3.0;21.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,7926.399144999999
tpcds_q_1,0,0,0.499345510453;0.3019233882007;894.0;8.0;41.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,6999.524283000001
tpcds_q_1,0,0,0.7923849821091;0.7752574242277;419.0;2.0;18.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,9627.410552000001
tpcds_q_1,0,0,0.1597727281819;0.4773157642189;505.0;6.0;38.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,7269.952914
tpcds_q_1,0,0,0.2405320159307;0.6259587038219;516.0;8.0;22.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,6839.574288
tpcds_q_1,0,0,0.334026064755;0.2446202035385;535.0;4.0;46.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,8045.778342
tpcds_q_1,0,0,0.5697357549859;0.8533055629361;269.0;3.0;42.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,7109.281046
tpcds_q_1,0,0,0.7695786241652;0.7411464405375;371.0;8.0;42.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,6554.626598000001
tpcds_q_1,0,0,0.355511024561;0.3854824419641;422.0;7.0;36.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,6532.384141999999
tpcds_q_1,0,1,0.5;0.5;256.0;1.0;1.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0,29236.685995
tpcds_q_1,0,1,0.499345510453;0.2490164503455;923.0;7.0;60.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0,14553.364849000001
tpcds_q_1,0,1,0.7923849821091;0.6932743646204;452.0;3.0;8.0;319.0;22.0;77.0;39845888.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0,15712.396262
