datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,job_10a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,10224.54,job,10
iceberg,presto,job_10b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3149.94,job,10
iceberg,presto,job_10c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,14729.41,job,10
iceberg,presto,job_11b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2677.59,job,10
iceberg,presto,job_12a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,9848.68,job,10
iceberg,presto,job_12b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2099.45,job,10
iceberg,presto,job_13b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2030.81,job,10
iceberg,presto,job_13d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,7197.64,job,10
iceberg,presto,job_14a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,5354.81,job,10
iceberg,presto,job_14b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,5806.71,job,10
iceberg,presto,job_14c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2093.16,job,10
iceberg,presto,job_15a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3411.27,job,10
iceberg,presto,job_15c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,14431.2,job,10
iceberg,presto,job_15d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2240.74,job,10
iceberg,presto,job_16a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,5636.68,job,10
iceberg,presto,job_16b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,14792.51,job,10
iceberg,presto,job_16d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,8668.4,job,10
iceberg,presto,job_17a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2124.3,job,10
iceberg,presto,job_17b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,8687.55,job,10
iceberg,presto,job_17e,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,16003.29,job,10
iceberg,presto,job_18a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,6557.51,job,10
iceberg,presto,job_18b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,1965.45,job,10
iceberg,presto,job_18c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,14765.71,job,10
iceberg,presto,job_19b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,16877.47,job,10
iceberg,presto,job_1a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,13824.95,job,10
