datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,job_10a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2653.74,job,10
delta,spark,job_10b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,21258.14,job,10
delta,spark,job_10c,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7392.25,job,10
delta,spark,job_11b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6974.21,job,10
delta,spark,job_12a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3941.24,job,10
delta,spark,job_12b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6344.62,job,10
delta,spark,job_13b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5538.78,job,10
delta,spark,job_13d,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2444.51,job,10
delta,spark,job_14a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,8763.26,job,10
delta,spark,job_14b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,20260.58,job,10
delta,spark,job_14c,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3144.9,job,10
delta,spark,job_15a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4797.8,job,10
delta,spark,job_15c,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3098.25,job,10
delta,spark,job_15d,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,9121.26,job,10
delta,spark,job_16a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2460.21,job,10
delta,spark,job_16b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2620.64,job,10
delta,spark,job_16d,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2553.79,job,10
delta,spark,job_17a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2696.5,job,10
delta,spark,job_17b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,8542.34,job,10
delta,spark,job_17e,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2747.62,job,10
delta,spark,job_18a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2959.2,job,10
delta,spark,job_18b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2621.35,job,10
delta,spark,job_18c,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3865.94,job,10
delta,spark,job_19b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,20047.8,job,10
delta,spark,job_1a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,12343.97,job,10
delta,spark,job_1b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,13569.88,job,10
delta,spark,job_1c,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,18579.59,job,10
delta,spark,job_1d,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3471.13,job,10
delta,spark,job_20b,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6120.63,job,10
delta,spark,job_20c,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,11537.95,job,10
delta,spark,job_21a,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,11173.12,job,10
