datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,job_10a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,5382.0,job,10
hudi,spark,job_10a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,5161.0,job,10
hudi,spark,job_10a,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,6888.0,job,10
hudi,spark,job_10a,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,4841.0,job,10
hudi,spark,job_10a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,4811.0,job,10
hudi,spark,job_10a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,7809.0,job,10
hudi,spark,job_10a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,7613.0,job,10
hudi,spark,job_10a,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,5010.0,job,10
hudi,spark,job_10a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,8149.0,job,10
hudi,spark,job_10a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,5344.0,job,10
hudi,spark,job_10a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,7590.0,job,10
hudi,spark,job_10a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,5246.0,job,10
hudi,spark,job_10a,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,7130.0,job,10
hudi,spark,job_10a,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,7302.0,job,10
hudi,spark,job_10b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3007.0,job,10
hudi,spark,job_10b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,2999.0,job,10
hudi,spark,job_10b,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,5094.0,job,10
hudi,spark,job_10b,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3731.0,job,10
hudi,spark,job_10b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3804.0,job,10
hudi,spark,job_10b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5094.0,job,10
hudi,spark,job_10b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5593.0,job,10
hudi,spark,job_10b,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3781.0,job,10
hudi,spark,job_10b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,4961.0,job,10
hudi,spark,job_10b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2926.0,job,10
hudi,spark,job_10b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,5025.0,job,10
hudi,spark,job_10b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,2854.0,job,10
hudi,spark,job_10b,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,4506.0,job,10
hudi,spark,job_10b,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,3007.0,job,10
hudi,spark,job_10c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3650.0,job,10
hudi,spark,job_10c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3136.0,job,10
hudi,spark,job_10c,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,4583.0,job,10
hudi,spark,job_10c,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3799.0,job,10
hudi,spark,job_10c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3091.0,job,10
hudi,spark,job_10c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4500.0,job,10
hudi,spark,job_10c,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5246.0,job,10
hudi,spark,job_10c,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,4152.0,job,10
hudi,spark,job_10c,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,4598.0,job,10
hudi,spark,job_10c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2883.0,job,10
hudi,spark,job_10c,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4659.0,job,10
