datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,job_7c,20.8;17.3;19.0;14.9;30.3;33.0;188.4|,1921.40,job,10
hudi,trino,job_7c,146.6;15.9;36.3;21.9;137.4;160.1;226.5|,3624.70,job,10
hudi,trino,job_7c,56.6;16.4;29.3;16.7;16.3;110.4;161.2|,2884.48,job,10
hudi,trino,job_7c,140.6;16.5;20.4;33.5;134.9;164.4;217.8|,3610.04,job,10
hudi,trino,job_7c,31.1;14.4;10.9;15.5;132.9;30.8;100.6|,3336.78,job,10
hudi,trino,job_7c,31.9;15.5;14.4;10.7;128.0;32.0;114.4|,3796.03,job,10
hudi,trino,job_7c,61.5;17.2;27.8;18.4;16.5;106.2;155.7|0.0;1.0;0.0,4625.89,job,10
hudi,trino,job_7c,57.0;16.5;16.7;29.2;16.9;103.2;154.8|1.0;0.0;0.0,4270.13,job,10
hudi,trino,job_7c,19.5;17.9;15.1;17.6;32.8;32.0;184.3|,6119.50,job,10
hudi,trino,job_7c,58.3;18.1;26.6;17.8;16.6;104.5;168.0|1.0;1.0;1.0,5440.17,job,10
hudi,trino,job_7c,142.1;17.7;21.6;37.6;127.7;153.7;222.4|0.0;0.0;1.0,5437.08,job,10
hudi,trino,job_7c,109.2;14.6;36.2;19.8;265.8;233.3;277.7|0.0;1.0;1.0,6418.23,job,10
hudi,trino,job_7c,20.9;17.1;15.1;16.6;31.7;34.3;190.1|0.0;0.9;0.0,5801.01,job,10
hudi,trino,job_7c,21.1;18.3;18.2;17.1;34.1;31.3;213.1|1.0;0.9;1.0,17992.56,job,10
hudi,trino,job_7c,61.7;15.8;29.0;16.2;16.0;101.1;166.8|0.0;0.0;0.0,16052.50,job,10
hudi,trino,job_7c,62.8;18.2;17.8;28.5;16.1;98.1;165.9|,14251.69,job,10
hudi,trino,job_7c,140.6;16.7;21.9;34.1;118.4;155.9;238.2|1.1;1.1;0.0,19290.88,job,10
hudi,trino,job_7c,104.0;13.1;37.6;18.9;260.7;226.9;293.6|,18665.47,job,10
hudi,trino,job_7c,108.1;13.8;19.6;35.4;247.1;232.0;284.3|0.0;0.0;0.0,20348.62,job,10
hudi,trino,job_7c,31.1;16.0;10.8;15.7;128.2;34.6;109.4|0.0;0.0;0.0,19657.68,job,10
hudi,trino,job_7c,99.3;13.7;20.0;36.9;270.9;227.7;261.4|1.0;1.0;0.0,20160.99,job,10
hudi,trino,job_7c,139.2;16.3;38.1;22.5;124.2;165.0;229.1|0.0;1.0;0.0,21727.54,job,10
hudi,trino,job_7c,30.9;15.9;10.7;14.8;125.9;32.3;103.2|1.1;0.0;1.0,19494.25,job,10
hudi,trino,job_7c,20.5;18.0;14.7;17.5;33.6;32.3;200.1|0.9;0.0;1.0,18911.73,job,10
hudi,trino,job_7c,137.8;16.4;21.3;35.4;119.1;159.2;224.1|0.0;0.9;0.0,26819.62,job,10
hudi,trino,job_7c,20.2;17.3;16.5;18.7;32.5;32.0;212.8|1.0;0.0;0.0,24298.07,job,10
hudi,trino,job_7c,99.0;14.1;18.6;38.7;263.0;248.2;269.1|0.0;0.0;1.0,49112.23,job,10
hudi,trino,job_17f,125.9;16.1;20.7;35.3;137.1;157.4;241.5|,1869.98,job,10
hudi,trino,job_17f,128.1;15.9;35.4;21.4;122.0;157.8;245.1|,1784.59,job,10
hudi,trino,job_17f,58.9;16.8;26.9;16.4;16.1;103.3;147.0|,2408.10,job,10
hudi,trino,job_17f,30.1;14.4;11.6;15.1;126.4;35.4;109.4|,2472.37,job,10
hudi,trino,job_17f,56.9;17.5;30.0;17.9;14.8;109.0;146.8|1.0;1.1;1.1,2749.14,job,10
hudi,trino,job_17f,60.5;17.2;26.2;17.3;16.9;101.1;149.5|0.0;1.0;0.0,2598.28,job,10
