datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,q1_1,16;200;20;18;18;32;32,2035.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1177.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,452.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,2203.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,766.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,603.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,741.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,718.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,548.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,454.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,784.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,739.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,626.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1571.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,636.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,484.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,2263.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,2101.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,867.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,1054.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,1119.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,867.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,630.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,1128.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,877.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,911.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,2171.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1911.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,740.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,3391.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,3199.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,2051.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,2370.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,2212.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,1502.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,1364.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,1883.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,1740.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,1948.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1928.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,825.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,704.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,2588.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,2051.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,1291.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,1558.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,1418.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,1091.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,877.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,1404.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,1134.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,1242.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1604.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1938.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,556.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,2019.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,2380.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,1169.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,1495.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,1378.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,1034.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,899.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,1244.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,1294.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,1093.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1828.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1656.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,460.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,1371.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,1939.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,823.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,968.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,845.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,687.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,532.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,903.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,803.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,671.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,1795.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1802.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,556.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,1445.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,1116.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,860.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,992.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,984.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,825.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,630.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,952.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,868.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,816.0,ssb-flat,1
