datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,q1_1,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,3674.509988,ssb-flat,1
iceberg,spark,q1_2,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,320.823146,ssb-flat,1
iceberg,spark,q1_3,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,260.221809,ssb-flat,1
iceberg,spark,q2_1,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,1786.272006,ssb-flat,1
iceberg,spark,q2_2,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,1155.457127,ssb-flat,1
iceberg,spark,q2_3,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,1135.198986,ssb-flat,1
iceberg,spark,q3_1,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,1257.766972,ssb-flat,1
iceberg,spark,q3_2,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,1273.431093,ssb-flat,1
iceberg,spark,q3_3,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,1148.89926,ssb-flat,1
iceberg,spark,q3_4,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,301.96094,ssb-flat,1
iceberg,spark,q4_1,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,1635.170432,ssb-flat,1
iceberg,spark,q4_2,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,544.113122,ssb-flat,1
iceberg,spark,q4_3,874;11;775;3053;923;7;60;0.499345510453;0.2490164503455,530.113226,ssb-flat,1
iceberg,spark,q1_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,3548.987315,ssb-flat,1
iceberg,spark,q1_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,3170.392652,ssb-flat,1
iceberg,spark,q1_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,321.661948,ssb-flat,1
iceberg,spark,q2_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1947.428419,ssb-flat,1
iceberg,spark,q2_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1712.971187,ssb-flat,1
iceberg,spark,q2_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1696.735768,ssb-flat,1
iceberg,spark,q3_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1380.132864,ssb-flat,1
iceberg,spark,q3_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1396.735025,ssb-flat,1
iceberg,spark,q3_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1053.869618,ssb-flat,1
iceberg,spark,q3_4,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,356.028445,ssb-flat,1
iceberg,spark,q4_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1623.838514,ssb-flat,1
iceberg,spark,q4_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,605.056748,ssb-flat,1
iceberg,spark,q4_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,726.782389,ssb-flat,1
iceberg,spark,q1_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,3538.623866,ssb-flat,1
iceberg,spark,q1_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,388.054319,ssb-flat,1
iceberg,spark,q1_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,249.855469,ssb-flat,1
iceberg,spark,q2_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1930.053665,ssb-flat,1
iceberg,spark,q2_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1157.456736,ssb-flat,1
iceberg,spark,q2_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1194.325501,ssb-flat,1
iceberg,spark,q3_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1398.696318,ssb-flat,1
iceberg,spark,q3_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1275.018705,ssb-flat,1
iceberg,spark,q3_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1010.478022,ssb-flat,1
iceberg,spark,q3_4,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,347.856212,ssb-flat,1
iceberg,spark,q4_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1650.745288,ssb-flat,1
iceberg,spark,q4_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,606.982651,ssb-flat,1
iceberg,spark,q4_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,538.363376,ssb-flat,1
iceberg,spark,q1_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,3509.964763,ssb-flat,1
iceberg,spark,q1_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,424.226521,ssb-flat,1
iceberg,spark,q1_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,283.840609,ssb-flat,1
iceberg,spark,q2_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1947.488687,ssb-flat,1
iceberg,spark,q2_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1634.913141,ssb-flat,1
iceberg,spark,q2_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1243.03289,ssb-flat,1
iceberg,spark,q3_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1325.97697,ssb-flat,1
iceberg,spark,q3_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1439.313991,ssb-flat,1
iceberg,spark,q3_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1329.463378,ssb-flat,1
iceberg,spark,q3_4,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,427.143706,ssb-flat,1
iceberg,spark,q4_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1837.696053,ssb-flat,1
iceberg,spark,q4_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,554.277358,ssb-flat,1
iceberg,spark,q4_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,543.336163,ssb-flat,1
iceberg,spark,q1_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,3613.880449,ssb-flat,1
iceberg,spark,q1_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,322.289066,ssb-flat,1
iceberg,spark,q1_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,314.514489,ssb-flat,1
iceberg,spark,q2_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,2114.286694,ssb-flat,1
iceberg,spark,q2_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1956.135627,ssb-flat,1
iceberg,spark,q2_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1215.918434,ssb-flat,1
iceberg,spark,q3_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1396.740557,ssb-flat,1
iceberg,spark,q3_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1302.601264,ssb-flat,1
iceberg,spark,q3_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1108.393585,ssb-flat,1
iceberg,spark,q3_4,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,320.049129,ssb-flat,1
iceberg,spark,q4_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1624.452479,ssb-flat,1
iceberg,spark,q4_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,559.203587,ssb-flat,1
iceberg,spark,q4_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,597.269159,ssb-flat,1
iceberg,spark,q1_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,3659.949262,ssb-flat,1
iceberg,spark,q1_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,3221.262197,ssb-flat,1
iceberg,spark,q1_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,516.492972,ssb-flat,1
iceberg,spark,q2_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1961.000016,ssb-flat,1
iceberg,spark,q2_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1182.945186,ssb-flat,1
iceberg,spark,q2_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1245.244189,ssb-flat,1
iceberg,spark,q3_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1303.781344,ssb-flat,1
iceberg,spark,q3_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1362.756667,ssb-flat,1
iceberg,spark,q3_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1272.349031,ssb-flat,1
iceberg,spark,q3_4,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,324.577956,ssb-flat,1
iceberg,spark,q4_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1642.80207,ssb-flat,1
iceberg,spark,q4_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,726.886545,ssb-flat,1
iceberg,spark,q4_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,615.720803,ssb-flat,1
iceberg,spark,q1_1,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,3623.448414,ssb-flat,1
iceberg,spark,q1_2,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,299.843904,ssb-flat,1
iceberg,spark,q1_3,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,331.621525,ssb-flat,1
iceberg,spark,q2_1,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1979.300152,ssb-flat,1
iceberg,spark,q2_2,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1206.486431,ssb-flat,1
iceberg,spark,q2_3,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1085.484085,ssb-flat,1
iceberg,spark,q3_1,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1550.395356,ssb-flat,1
iceberg,spark,q3_2,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1210.588803,ssb-flat,1
iceberg,spark,q3_3,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1124.535276,ssb-flat,1
iceberg,spark,q3_4,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,331.665723,ssb-flat,1
iceberg,spark,q4_1,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1602.906467,ssb-flat,1
iceberg,spark,q4_2,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,564.820563,ssb-flat,1
iceberg,spark,q4_3,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,689.347533,ssb-flat,1
iceberg,spark,q1_1,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,3694.908165,ssb-flat,1
iceberg,spark,q1_2,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,3140.068551,ssb-flat,1
iceberg,spark,q1_3,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,3141.043423,ssb-flat,1
iceberg,spark,q2_1,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1937.15551,ssb-flat,1
iceberg,spark,q2_2,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1587.048597,ssb-flat,1
iceberg,spark,q2_3,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1134.168359,ssb-flat,1
iceberg,spark,q3_1,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1381.496989,ssb-flat,1
iceberg,spark,q3_2,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1295.556508,ssb-flat,1
iceberg,spark,q3_3,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1110.202835,ssb-flat,1
iceberg,spark,q3_4,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,319.360295,ssb-flat,1
iceberg,spark,q4_1,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,1731.696313,ssb-flat,1
iceberg,spark,q4_2,945;116;704;2141;607;5;18;0.5525344347192;0.6897300588631,598.010572,ssb-flat,1
