datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,q1_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,8861.74,ssb-flat,1
delta,trino,q2_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,1886.17,ssb-flat,1
delta,trino,q2_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,7030.73,ssb-flat,1
delta,trino,q2_3,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,1500.38,ssb-flat,1
delta,trino,q3_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,4725.5,ssb-flat,1
delta,trino,q3_2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,8926.21,ssb-flat,1
delta,trino,q4_1,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=24; query.max-memory-per-node=14; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,9550.89,ssb-flat,1
delta,trino,q1_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,4404.24,ssb-flat,1
delta,trino,q2_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,6920.65,ssb-flat,1
delta,trino,q2_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,2338.53,ssb-flat,1
delta,trino,q2_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,4086.13,ssb-flat,1
delta,trino,q3_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,3219.37,ssb-flat,1
delta,trino,q3_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,4113.14,ssb-flat,1
delta,trino,q4_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=24; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,2683.85,ssb-flat,1
