datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,q1_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,11203.02,ssb-flat,1
hudi,trino,q2_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,12236.71,ssb-flat,1
hudi,trino,q2_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,5370.63,ssb-flat,1
hudi,trino,q2_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,1652.04,ssb-flat,1
hudi,trino,q3_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,1512.65,ssb-flat,1
hudi,trino,q3_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,1512.65,ssb-flat,1
hudi,trino,q4_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,4771.99,ssb-flat,1
hudi,trino,q1_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,5496.59,ssb-flat,1
hudi,trino,q2_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,5267.99,ssb-flat,1
hudi,trino,q2_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,1512.65,ssb-flat,1
hudi,trino,q2_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,8376.71,ssb-flat,1
hudi,trino,q3_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,5110.99,ssb-flat,1
hudi,trino,q3_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,8387.37,ssb-flat,1
hudi,trino,q4_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,1512.65,ssb-flat,1
hudi,trino,q1_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=32,11383.02,ssb-flat,1
hudi,trino,q2_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=32,4437.62,ssb-flat,1
hudi,trino,q2_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=32,5449.64,ssb-flat,1
hudi,trino,q2_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=32,1512.65,ssb-flat,1
