datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,ssb_flat_q_01,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,4327.73,ssb-flat,10
iceberg,presto,ssb_flat_q_02,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,6806.4,ssb-flat,10
iceberg,presto,ssb_flat_q_03,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,2298.89,ssb-flat,10
iceberg,presto,ssb_flat_q_04,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,6049.92,ssb-flat,10
iceberg,presto,ssb_flat_q_06,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,3415.66,ssb-flat,10
iceberg,presto,ssb_flat_q_07,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,2359.11,ssb-flat,10
iceberg,presto,ssb_flat_q_08,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,4780.71,ssb-flat,10
iceberg,presto,ssb_flat_q_11,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,4838.71,ssb-flat,10
iceberg,presto,ssb_flat_q_12,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,6423.72,ssb-flat,10
iceberg,presto,ssb_flat_q_14,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,3200.75,ssb-flat,10
iceberg,presto,ssb_flat_q_21,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,4998.14,ssb-flat,10
iceberg,presto,ssb_flat_q_22,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,4388.26,ssb-flat,10
iceberg,presto,ssb_flat_q_25,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,7234.77,ssb-flat,10
iceberg,presto,ssb_flat_q_26,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,6014.61,ssb-flat,10
iceberg,presto,ssb_flat_q_27,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,5116.81,ssb-flat,10
iceberg,presto,ssb_flat_queries,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=24,3217.88,ssb-flat,10
iceberg,presto,ssb_flat_q_01,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,3490.14,ssb-flat,10
iceberg,presto,ssb_flat_q_02,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,4838.23,ssb-flat,10
iceberg,presto,ssb_flat_q_03,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,1794.4,ssb-flat,10
iceberg,presto,ssb_flat_q_04,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,6758.13,ssb-flat,10
iceberg,presto,ssb_flat_q_06,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,2768.79,ssb-flat,10
iceberg,presto,ssb_flat_q_07,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=24; task.max-worker-threads=48,2264.07,ssb-flat,10
