datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,ssb_flat_q_01,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,3572.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,3954.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,3012.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,4014.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,3414.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,3338.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,3419.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,3444.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,3335.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,3561.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,3597.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,4319.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,3399.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,3706.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,3236.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,3596.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,3580.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,3461.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,3298.0,ssb-flat,10
hudi,trino,ssb_flat_q_01,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,3214.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,3607.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,6041.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,3979.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,5806.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,5502.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,5049.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,4576.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,4439.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,3784.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,5220.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,4224.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,5255.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,5215.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,4638.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,4471.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,4710.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,4960.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,4771.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,4606.0,ssb-flat,10
hudi,trino,ssb_flat_q_02,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,4129.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,3470.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,3367.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,1766.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,2326.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,1879.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,3162.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,1943.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,2565.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,1728.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,2056.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,3380.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,2156.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,2405.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,2232.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,2044.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,2215.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,3290.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,3279.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,2052.0,ssb-flat,10
hudi,trino,ssb_flat_q_03,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,1816.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1427.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2748.0,ssb-flat,10
