datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,q1_1,16;200;20;18;18;32;32,23396.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,29655.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,8122.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,113616.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,53111.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,45691.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,67897.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,69248.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,35697.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,7695.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,53721.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,16072.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,16249.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,11698.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,16787.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,10705.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,53777.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,31545.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,27487.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,35945.0,ssb-flat,100
iceberg,presto,q3_2,16;200;20;18;18;32;32,34413.0,ssb-flat,100
iceberg,presto,q3_3,16;200;20;18;18;32;32,29241.0,ssb-flat,100
iceberg,presto,q3_4,16;200;20;18;18;32;32,12526.0,ssb-flat,100
iceberg,presto,q4_1,16;200;20;18;18;32;32,59310.0,ssb-flat,100
iceberg,presto,q4_2,16;200;20;18;18;32;32,11891.0,ssb-flat,100
iceberg,presto,q4_3,16;200;20;18;18;32;32,19090.0,ssb-flat,100
iceberg,presto,q1_1,16;200;20;18;18;32;32,14262.0,ssb-flat,100
iceberg,presto,q1_2,16;200;20;18;18;32;32,10455.0,ssb-flat,100
iceberg,presto,q1_3,16;200;20;18;18;32;32,10121.0,ssb-flat,100
iceberg,presto,q2_1,16;200;20;18;18;32;32,52980.0,ssb-flat,100
iceberg,presto,q2_2,16;200;20;18;18;32;32,42373.0,ssb-flat,100
iceberg,presto,q2_3,16;200;20;18;18;32;32,30111.0,ssb-flat,100
iceberg,presto,q3_1,16;200;20;18;18;32;32,36331.0,ssb-flat,100
