datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,q1_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,51557.373323,ssb-flat,100
hudi,spark,q1_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,33465.573557,ssb-flat,100
hudi,spark,q1_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,14176.312457,ssb-flat,100
hudi,spark,q2_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,497104.045434,ssb-flat,100
hudi,spark,q2_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,1209056.698082,ssb-flat,100
hudi,spark,q3_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,395286.48,ssb-flat,100
hudi,spark,q3_4,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,331415.45,ssb-flat,100
hudi,spark,q4_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,348415.92,ssb-flat,100
hudi,spark,q4_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,327550.23,ssb-flat,100
hudi,spark,q3_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,363182.06,ssb-flat,100
hudi,spark,q2_3,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,381915.01,ssb-flat,100
hudi,spark,q4_1,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,348261.82,ssb-flat,100
hudi,spark,q3_2,32;4;10;128;452;3;14;0.7923849821091;0.6932743646204,344537.31,ssb-flat,100
hudi,spark,q1_1,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,49061.48,ssb-flat,100
hudi,spark,q1_2,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,36623.57,ssb-flat,100
hudi,spark,q1_3,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,14189.23,ssb-flat,100
hudi,spark,q2_1,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,519918.79,ssb-flat,100
hudi,spark,q2_2,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,1282994.35,ssb-flat,100
hudi,spark,q2_3,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,358683.86,ssb-flat,100
hudi,spark,q3_1,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,410312.1,ssb-flat,100
hudi,spark,q3_2,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,329020.5,ssb-flat,100
hudi,spark,q3_3,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,388354.95,ssb-flat,100
hudi,spark,q3_4,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,354031.62,ssb-flat,100
hudi,spark,q4_1,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,376417.09,ssb-flat,100
hudi,spark,q4_2,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,339400.4,ssb-flat,100
hudi,spark,q4_3,29.0;4.3;9.1;136.6;387.5;3.1;16.0;0.9;0.6,324759.23,ssb-flat,100
hudi,spark,q1_1,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,51837.89,ssb-flat,100
hudi,spark,q1_2,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,34731.21,ssb-flat,100
hudi,spark,q1_3,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,14635.87,ssb-flat,100
hudi,spark,q2_1,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,523108.06,ssb-flat,100
hudi,spark,q2_2,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,1285254.91,ssb-flat,100
hudi,spark,q2_3,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,405038.29,ssb-flat,100
hudi,spark,q3_1,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,386544.91,ssb-flat,100
hudi,spark,q3_2,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,335932.11,ssb-flat,100
hudi,spark,q3_3,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,353296.27,ssb-flat,100
hudi,spark,q3_4,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,322537.48,ssb-flat,100
hudi,spark,q4_1,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,332902.68,ssb-flat,100
hudi,spark,q4_2,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,341755.74,ssb-flat,100
hudi,spark,q4_3,28.0;4.5;8.9;144.3;453.3;3.4;15.6;0.9;0.8,357957.68,ssb-flat,100
hudi,spark,q1_1,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,47573.11,ssb-flat,100
hudi,spark,q1_2,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,35729.72,ssb-flat,100
hudi,spark,q1_3,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,13037.22,ssb-flat,100
hudi,spark,q2_1,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,536562.04,ssb-flat,100
hudi,spark,q2_2,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,1202629.73,ssb-flat,100
hudi,spark,q2_3,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,373763.81,ssb-flat,100
hudi,spark,q3_1,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,376967.8,ssb-flat,100
hudi,spark,q3_2,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,356445.44,ssb-flat,100
hudi,spark,q3_3,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,380823.86,ssb-flat,100
hudi,spark,q3_4,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,357180.22,ssb-flat,100
hudi,spark,q4_1,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,371179.13,ssb-flat,100
hudi,spark,q4_2,30.4;4.0;9.8;122.9;505.9;2.8;15.1;0.9;0.8,331486.69,ssb-flat,100
