datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,q1_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,62143.79,ssb-flat,100
hudi,trino,q1_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,13674.88,ssb-flat,100
hudi,trino,q1_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,87122.88,ssb-flat,100
hudi,trino,q2_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,23147.51,ssb-flat,100
hudi,trino,q2_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,13875.01,ssb-flat,100
hudi,trino,q2_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,94424.85,ssb-flat,100
hudi,trino,q3_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,23828.18,ssb-flat,100
hudi,trino,q3_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,107141.91,ssb-flat,100
hudi,trino,q3_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,96049.37,ssb-flat,100
hudi,trino,q3_4,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,76828.82,ssb-flat,100
hudi,trino,q4_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,19440.0,ssb-flat,100
