datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,db1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,7793.21,ssb,1
hudi,presto,db10,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,3822.45,ssb,1
hudi,presto,db11,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,1500.29,ssb,1
hudi,presto,db14,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,3695.31,ssb,1
hudi,presto,db15,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,4950.4,ssb,1
hudi,presto,db16,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,1759.11,ssb,1
hudi,presto,db17,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,4199.35,ssb,1
hudi,presto,db18,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,3822.91,ssb,1
hudi,presto,db19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,1500.29,ssb,1
hudi,presto,db2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,2524.45,ssb,1
hudi,presto,db21,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,2411.67,ssb,1
hudi,presto,db3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,1868.73,ssb,1
hudi,presto,db5,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,4161.96,ssb,1
hudi,presto,db6,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,1716.88,ssb,1
hudi,presto,db7,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,1500.29,ssb,1
hudi,presto,q1_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,2172.33,ssb,1
