datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,db1,16;200;20;18;18;32;32,210.0,ssb,1
iceberg,presto,db10,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db11,16;200;20;18;18;32;32,6802.0,ssb,1
iceberg,presto,db12,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db13,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db14,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db15,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db16,16;200;20;18;18;32;32,4486.0,ssb,1
iceberg,presto,db17,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db18,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db19,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db2,16;200;20;18;18;32;32,5313.0,ssb,1
iceberg,presto,db20,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db21,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db22,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db3,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db4,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db5,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db6,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db7,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db8,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db9,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db1,16;200;20;18;18;32;32,187.0,ssb,1
iceberg,presto,db10,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db11,16;200;20;18;18;32;32,7253.0,ssb,1
iceberg,presto,db12,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db13,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db14,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db15,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db16,16;200;20;18;18;32;32,5722.0,ssb,1
iceberg,presto,db17,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db18,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db19,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db2,16;200;20;18;18;32;32,7405.0,ssb,1
iceberg,presto,db20,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db21,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db22,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db3,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db4,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db5,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db6,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db7,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db8,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db9,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db1,16;200;20;18;18;32;32,185.0,ssb,1
iceberg,presto,db10,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db11,16;200;20;18;18;32;32,15724.0,ssb,1
iceberg,presto,db12,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db13,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db14,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db15,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db16,16;200;20;18;18;32;32,9885.0,ssb,1
iceberg,presto,db17,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db18,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db19,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db2,16;200;20;18;18;32;32,14142.0,ssb,1
iceberg,presto,db20,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db21,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db22,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db3,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db4,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db5,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db6,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db7,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db8,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db9,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db1,16;200;20;18;18;32;32,195.0,ssb,1
iceberg,presto,db10,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db11,16;200;20;18;18;32;32,9384.0,ssb,1
iceberg,presto,db12,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db13,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db14,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db15,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db16,16;200;20;18;18;32;32,7533.0,ssb,1
iceberg,presto,db17,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db18,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db19,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db2,16;200;20;18;18;32;32,8975.0,ssb,1
iceberg,presto,db20,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db21,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db22,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db3,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db4,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db5,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db6,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db7,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db8,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db9,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db1,16;200;20;18;18;32;32,174.0,ssb,1
iceberg,presto,db10,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db11,16;200;20;18;18;32;32,7183.0,ssb,1
iceberg,presto,db12,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db13,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db14,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db15,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db16,16;200;20;18;18;32;32,3689.0,ssb,1
iceberg,presto,db17,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db18,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db19,16;200;20;18;18;32;32,1.0,ssb,1
iceberg,presto,db2,16;200;20;18;18;32;32,5971.0,ssb,1
iceberg,presto,db20,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db21,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db22,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db3,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db4,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db5,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db6,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db7,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db8,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db9,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db1,16;200;20;18;18;32;32,182.0,ssb,1
iceberg,presto,db10,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db11,16;200;20;18;18;32;32,7407.0,ssb,1
iceberg,presto,db12,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db13,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db14,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db15,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db16,16;200;20;18;18;32;32,4230.0,ssb,1
iceberg,presto,db17,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db18,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db19,16;200;20;18;18;32;32,0.0,ssb,1
iceberg,presto,db2,16;200;20;18;18;32;32,5657.0,ssb,1
