datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,ssb_q1,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,14691.541254,ssb,10
delta,presto,ssb_q1,0.499345510453;0.2490164503455;923.0;7.0;60|3372.0MB;947.0MB;921.0;11534336.0,11929.161097,ssb,10
delta,presto,ssb_q1,0.7923849821091;0.6932743646204;452.0;3.0;8|221.0MB;404.0MB;285.0;83886080.0,10950.913373,ssb,10
delta,presto,ssb_q1,0.4566333208224;0.1463799164938;671.0;5.0;41|832.0MB;498.0MB;569.0;49283072.0,10747.494833,ssb,10
delta,presto,ssb_q1,0.8519355876882;0.1518803517774;595.0;4.0;43|1980.0MB;983.0MB;91.0;109051904.0,16234.499226,ssb,10
delta,presto,ssb_q1,0.5070057451761;0.1416419186938;513.0;1.0;40|3460.0MB;907.0MB;281.0;46137344.0,11112.242429,ssb,10
delta,presto,ssb_q1,0.5014977596935;0.1301978535739;486.0;4.0;37|3130.0MB;29.0MB;581.0;76546048.0,12258.138911,ssb,10
delta,presto,ssb_q1,0.626732327192;0.3159100175413;290.0;2.0;18|3794.0MB;45.0MB;106.0;29360128.0,9242.435952,ssb,10
delta,presto,ssb_q1,0.8255735280335;0.5810043788473;265.0;8.0;24|3185.0MB;519.0MB;696.0;93323264.0,13199.958103,ssb,10
delta,presto,ssb_q1,0.2225872804112;0.3117094553633;322.0;5.0;18|2234.0MB;521.0MB;4.0;71303168.0,12558.294866,ssb,10
delta,presto,ssb_q11,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,3662.532261,ssb,10
delta,presto,ssb_q11,0.499345510453;0.2490164503455;923.0;7.0;60|3372.0MB;947.0MB;921.0;11534336.0,4019.454799,ssb,10
delta,presto,ssb_q11,0.7923849821091;0.6932743646204;452.0;3.0;8|221.0MB;404.0MB;285.0;83886080.0,4004.096506,ssb,10
delta,presto,ssb_q11,0.4566333208224;0.1463799164938;671.0;5.0;41|832.0MB;498.0MB;569.0;49283072.0,2531.126009,ssb,10
delta,presto,ssb_q11,0.8519355876882;0.1518803517774;595.0;4.0;43|1980.0MB;983.0MB;91.0;109051904.0,5513.268218,ssb,10
delta,presto,ssb_q11,0.5070057451761;0.1416419186938;513.0;1.0;40|3460.0MB;907.0MB;281.0;46137344.0,2616.092675,ssb,10
delta,presto,ssb_q11,0.5014977596935;0.1301978535739;486.0;4.0;37|3130.0MB;29.0MB;581.0;76546048.0,2653.583334,ssb,10
delta,presto,ssb_q11,0.626732327192;0.3159100175413;290.0;2.0;18|3794.0MB;45.0MB;106.0;29360128.0,2889.011445,ssb,10
delta,presto,ssb_q11,0.8255735280335;0.5810043788473;265.0;8.0;24|3185.0MB;519.0MB;696.0;93323264.0,3096.237402,ssb,10
delta,presto,ssb_q11,0.2225872804112;0.3117094553633;322.0;5.0;18|2234.0MB;521.0MB;4.0;71303168.0,2233.81997,ssb,10
delta,presto,ssb_q12,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,5858.455399,ssb,10
delta,presto,ssb_q12,0.499345510453;0.2490164503455;923.0;7.0;60|3372.0MB;947.0MB;921.0;11534336.0,5276.589655,ssb,10
delta,presto,ssb_q12,0.7923849821091;0.6932743646204;452.0;3.0;8|221.0MB;404.0MB;285.0;83886080.0,5658.758609,ssb,10
delta,presto,ssb_q12,0.4566333208224;0.1463799164938;671.0;5.0;41|832.0MB;498.0MB;569.0;49283072.0,5439.566037,ssb,10
delta,presto,ssb_q12,0.8519355876882;0.1518803517774;595.0;4.0;43|1980.0MB;983.0MB;91.0;109051904.0,10491.152723,ssb,10
delta,presto,ssb_q12,0.5070057451761;0.1416419186938;513.0;1.0;40|3460.0MB;907.0MB;281.0;46137344.0,4488.89478,ssb,10
delta,presto,ssb_q12,0.5014977596935;0.1301978535739;486.0;4.0;37|3130.0MB;29.0MB;581.0;76546048.0,4300.788885,ssb,10
delta,presto,ssb_q12,0.626732327192;0.3159100175413;290.0;2.0;18|3794.0MB;45.0MB;106.0;29360128.0,5185.9429470000005,ssb,10
delta,presto,ssb_q12,0.8255735280335;0.5810043788473;265.0;8.0;24|3185.0MB;519.0MB;696.0;93323264.0,4826.928205,ssb,10
delta,presto,ssb_q12,0.2225872804112;0.3117094553633;322.0;5.0;18|2234.0MB;521.0MB;4.0;71303168.0,5612.059482000001,ssb,10
delta,presto,ssb_q13,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,12793.351246,ssb,10
delta,presto,ssb_q13,0.499345510453;0.2490164503455;923.0;7.0;60|3372.0MB;947.0MB;921.0;11534336.0,13025.16875,ssb,10
delta,presto,ssb_q13,0.7923849821091;0.6932743646204;452.0;3.0;8|221.0MB;404.0MB;285.0;83886080.0,11999.736619,ssb,10
delta,presto,ssb_q13,0.4566333208224;0.1463799164938;671.0;5.0;41|832.0MB;498.0MB;569.0;49283072.0,13892.540679,ssb,10
delta,presto,ssb_q13,0.8519355876882;0.1518803517774;595.0;4.0;43|1980.0MB;983.0MB;91.0;109051904.0,25804.240166,ssb,10
delta,presto,ssb_q13,0.5070057451761;0.1416419186938;513.0;1.0;40|3460.0MB;907.0MB;281.0;46137344.0,13000.070452,ssb,10
delta,presto,ssb_q13,0.5014977596935;0.1301978535739;486.0;4.0;37|3130.0MB;29.0MB;581.0;76546048.0,10990.446829,ssb,10
delta,presto,ssb_q13,0.626732327192;0.3159100175413;290.0;2.0;18|3794.0MB;45.0MB;106.0;29360128.0,10305.977058,ssb,10
