datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,ssb_q1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,1746.6,ssb,10
hudi,presto,ssb_q11,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,1803.88,ssb,10
hudi,presto,ssb_q13,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,1627.43,ssb,10
hudi,presto,ssb_q14,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,12428.07,ssb,10
hudi,presto,ssb_q17,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,5596.08,ssb,10
hudi,presto,ssb_q19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,12105.06,ssb,10
hudi,presto,ssb_q22,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3252.24,ssb,10
hudi,presto,ssb_q23,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3218.1,ssb,10
hudi,presto,ssb_q25,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,1918.24,ssb,10
hudi,presto,ssb_q27,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3882.97,ssb,10
hudi,presto,ssb_q29,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,1588.22,ssb,10
hudi,presto,ssb_q36,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,12728.76,ssb,10
hudi,presto,ssb_q37,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3857.41,ssb,10
hudi,presto,ssb_q38,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,1981.57,ssb,10
hudi,presto,ssb_q42,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3978.69,ssb,10
hudi,presto,ssb_q45,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,5213.55,ssb,10
hudi,presto,ssb_q46,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,4458.31,ssb,10
