datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,ssb_q1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,7793.0,ssb,10
hudi,spark,ssb_q1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,8086.0,ssb,10
hudi,spark,ssb_q1,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,9187.0,ssb,10
hudi,spark,ssb_q1,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,7501.0,ssb,10
hudi,spark,ssb_q1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,7912.0,ssb,10
hudi,spark,ssb_q1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,8899.0,ssb,10
hudi,spark,ssb_q1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,8734.0,ssb,10
hudi,spark,ssb_q1,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,8004.0,ssb,10
hudi,spark,ssb_q1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,8645.0,ssb,10
hudi,spark,ssb_q1,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,7686.0,ssb,10
hudi,spark,ssb_q1,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,9785.0,ssb,10
hudi,spark,ssb_q1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,8923.0,ssb,10
hudi,spark,ssb_q1,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,9359.0,ssb,10
hudi,spark,ssb_q1,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,8146.0,ssb,10
hudi,spark,ssb_q12,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3786.0,ssb,10
hudi,spark,ssb_q12,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3667.0,ssb,10
hudi,spark,ssb_q12,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,4265.0,ssb,10
hudi,spark,ssb_q12,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3480.0,ssb,10
hudi,spark,ssb_q12,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,4040.0,ssb,10
hudi,spark,ssb_q12,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4066.0,ssb,10
hudi,spark,ssb_q12,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4336.0,ssb,10
hudi,spark,ssb_q12,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3757.0,ssb,10
