datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,q4_2,62.6;15.9;18.1;27.9;16.9;101.2;167.0|,1707.71,ssb,10
hudi,trino,q4_2,21.1;17.6;17.2;17.9;29.4;29.7;198.2|,1982.59,ssb,10
hudi,trino,q4_2,135.3;16.3;21.2;35.9;124.4;145.4;214.4|1.0;1.1;0.0,2818.81,ssb,10
hudi,trino,q4_2,111.0;14.0;37.1;21.1;262.9;237.9;272.1|,4089.03,ssb,10
hudi,trino,q4_2,28.8;14.7;10.5;14.7;137.4;34.1;101.4|0.9;0.0;0.9,3374.12,ssb,10
hudi,trino,q4_2,103.0;12.9;19.9;36.7;267.0;237.7;301.0|0.0;0.0;1.0,4655.43,ssb,10
hudi,trino,q4_2,29.9;14.3;11.7;15.1;118.4;34.0;99.0|0.0;0.0;0.0,4576.61,ssb,10
hudi,trino,q4_2,27.7;15.3;16.0;11.8;125.9;33.8;106.8|1.0;1.0;1.1,6185.28,ssb,10
hudi,trino,q4_2,60.7;17.8;15.8;29.4;16.3;104.0;160.9|1.0;0.0;0.0,6903.95,ssb,10
hudi,trino,q4_2,104.3;14.8;18.7;36.7;238.2;254.9;260.1|0.0;0.0;0.0,6936.06,ssb,10
hudi,trino,q4_2,18.7;18.9;17.2;17.9;33.6;32.9;190.4|0.0;0.9;0.0,6291.79,ssb,10
hudi,trino,q4_2,98.5;13.4;35.3;18.8;262.8;246.0;294.4|0.0;1.0;0.9,6218.06,ssb,10
hudi,trino,q4_2,132.3;15.7;33.9;19.7;132.5;160.5;243.9|0.0;1.0;0.0,6801.24,ssb,10
hudi,trino,q4_2,21.2;19.1;16.7;19.2;30.7;30.5;205.2|1.1;0.0;0.0,5550.98,ssb,10
hudi,trino,q4_2,21.0;17.8;18.0;16.8;32.3;30.6;190.0|0.9;0.9;1.0,6820.40,ssb,10
hudi,trino,q4_2,100.3;14.3;19.9;36.4;269.8;232.1;272.0|0.9;1.0;0.0,8336.06,ssb,10
hudi,trino,q4_2,56.6;18.1;25.9;15.9;16.3;97.1;153.5|1.1;1.0;0.9,7119.79,ssb,10
hudi,trino,q4_2,146.6;16.5;19.6;35.4;131.8;163.6;237.5|0.0;1.0;0.0,7163.64,ssb,10
