datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,q1_1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,1205.97,ssb,100
delta,spark,q1_2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,1258.05,ssb,100
delta,spark,q1_3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,1799.22,ssb,100
delta,spark,q2_1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,5151.08,ssb,100
delta,spark,q2_2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,20873.89,ssb,100
delta,spark,q2_3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,22292.71,ssb,100
delta,spark,q3_1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,23463.92,ssb,100
delta,spark,q3_2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,26901.51,ssb,100
delta,spark,q3_3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,37805.78,ssb,100
delta,spark,q3_4,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,37080.85,ssb,100
delta,spark,q4_1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,39426.48,ssb,100
delta,spark,q4_2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,85036.23,ssb,100
delta,spark,q4_3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,87201.0,ssb,100
delta,spark,q1_1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,1558.22,ssb,100
delta,spark,q1_2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,4330.51,ssb,100
delta,spark,q1_3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,15300.33,ssb,100
delta,spark,q2_1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,24029.62,ssb,100
delta,spark,q2_2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,25166.07,ssb,100
delta,spark,q2_3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,26956.26,ssb,100
delta,spark,q3_1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,26768.98,ssb,100
delta,spark,q3_2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,34089.79,ssb,100
delta,spark,q3_3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,42545.28,ssb,100
delta,spark,q3_4,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,46920.91,ssb,100
delta,spark,q4_1,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,52600.56,ssb,100
delta,spark,q4_2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,87687.4,ssb,100
delta,spark,q4_3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,77038.9,ssb,100
delta,spark,q1_1,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,953.41,ssb,100
delta,spark,q1_2,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,1049.23,ssb,100
delta,spark,q1_3,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,1952.69,ssb,100
delta,spark,q2_1,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,5322.52,ssb,100
delta,spark,q2_2,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,27654.68,ssb,100
delta,spark,q2_3,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,26710.16,ssb,100
delta,spark,q3_1,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,26310.13,ssb,100
delta,spark,q3_2,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,31588.59,ssb,100
delta,spark,q3_3,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,40218.46,ssb,100
delta,spark,q3_4,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,40511.84,ssb,100
delta,spark,q4_1,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,40390.29,ssb,100
delta,spark,q4_2,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,81229.65,ssb,100
delta,spark,q4_3,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,96503.65,ssb,100
delta,spark,q1_1,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,1351.16,ssb,100
delta,spark,q1_2,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,1376.62,ssb,100
delta,spark,q1_3,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,4509.05,ssb,100
delta,spark,q2_1,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,17166.58,ssb,100
delta,spark,q2_2,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,20740.33,ssb,100
delta,spark,q2_3,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,22607.14,ssb,100
delta,spark,q3_1,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,28519.11,ssb,100
delta,spark,q3_2,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,28812.6,ssb,100
delta,spark,q3_3,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,35749.42,ssb,100
delta,spark,q3_4,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,37618.72,ssb,100
delta,spark,q4_1,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,40939.23,ssb,100
delta,spark,q4_2,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,72038.05,ssb,100
delta,spark,q4_3,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,77971.61,ssb,100
delta,spark,q1_1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,1229.15,ssb,100
delta,spark,q1_2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,1433.47,ssb,100
delta,spark,q1_3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,4576.62,ssb,100
delta,spark,q2_1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,15259.52,ssb,100
delta,spark,q2_2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,21545.59,ssb,100
delta,spark,q2_3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,23471.61,ssb,100
delta,spark,q3_1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,25240.88,ssb,100
delta,spark,q3_2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,29953.28,ssb,100
delta,spark,q3_3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,41894.2,ssb,100
delta,spark,q3_4,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,41686.3,ssb,100
delta,spark,q4_1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,38553.05,ssb,100
delta,spark,q4_2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,86268.48,ssb,100
delta,spark,q4_3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,94734.68,ssb,100
delta,spark,q1_1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,961.65,ssb,100
delta,spark,q1_2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,1132.9,ssb,100
delta,spark,q1_3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4673.04,ssb,100
delta,spark,q2_1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,15617.21,ssb,100
delta,spark,q2_2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,23708.22,ssb,100
delta,spark,q2_3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,26768.1,ssb,100
delta,spark,q3_1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,32177.82,ssb,100
delta,spark,q3_2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,38329.63,ssb,100
delta,spark,q3_3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,42503.0,ssb,100
delta,spark,q3_4,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,41116.0,ssb,100
delta,spark,q4_1,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,44512.19,ssb,100
delta,spark,q4_2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,89776.05,ssb,100
delta,spark,q4_3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,101675.54,ssb,100
delta,spark,q1_1,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,1259.51,ssb,100
delta,spark,q1_2,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,1498.77,ssb,100
delta,spark,q1_3,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,4154.82,ssb,100
delta,spark,q2_1,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,16875.44,ssb,100
delta,spark,q2_2,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,21022.78,ssb,100
delta,spark,q2_3,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,24065.56,ssb,100
delta,spark,q3_1,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,27530.47,ssb,100
delta,spark,q3_2,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,32724.89,ssb,100
delta,spark,q3_3,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,32132.52,ssb,100
delta,spark,q3_4,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,40762.96,ssb,100
delta,spark,q4_1,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,37738.76,ssb,100
delta,spark,q4_2,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,78589.18,ssb,100
