datalake,engine,query name,conf,latency,benchmark,sf
iceberg,trino,syn_q5,119.5;56.2;99.9;87.3;27.9;135.2;77.3;88.1|205.3;295.4;38.5,4223.87,ssb,100
iceberg,trino,syn_q5,148.4;162.1;30.8;46.4;111.9;36.6;44.9|82.4;277.7;138.5;259.8;169.6;24.7,3689.86,ssb,100
iceberg,trino,syn_q5,168.8;194.1;186.0;171.3;41.6;102.3;50.6;86.2|57.7;10.6;123.2,5494.31,ssb,100
iceberg,trino,syn_q5,64.2;142.4;148.8;158.8;135.8;102.5;46.1|290.9;178.0;167.2;226.9,3807.72,ssb,100
iceberg,trino,syn_q5,19.5;100.6;184.7;110.9|288.6;33.2;63.9,3273.13,ssb,100
iceberg,trino,syn_q5,22.9;173.7;86.7;188.9;118.2;120.0;17.6;25.6|281.1;69.2;217.7;79.2;124.8,7761.17,ssb,100
iceberg,trino,syn_q5,96.9;186.5;187.8;11.8;128.0;117.0|31.2;71.8;86.9,4672.55,ssb,100
iceberg,trino,syn_q5,177.4;177.1;80.2;40.0;168.4;143.7|203.7;170.8;280.2,5102.33,ssb,100
iceberg,trino,syn_q5,188.4;35.5;31.9;30.3|89.0;185.4;218.1;69.0,3260.93,ssb,100
iceberg,trino,syn_q5,106.0;57.7;182.6;19.7;130.5;167.6|11.0;233.6;194.8,4246.62,ssb,100
iceberg,trino,syn_q5,40.7;93.9;144.1;116.6;31.3;189.6|168.2;252.0;178.9;52.9,5169.18,ssb,100
iceberg,trino,syn_q5,17.9;79.3;187.3;194.7;17.6|70.9;82.4;39.8;236.2;266.4,3540.05,ssb,100
iceberg,trino,syn_q5,195.0;152.4;185.9;55.0;40.9;162.0;43.6|17.2;223.6;106.3;279.9;242.6;260.6,5596.53,ssb,100
iceberg,trino,syn_q5,60.7;159.6;30.5;175.7;173.1|67.9;276.4;111.4;248.0,4175.55,ssb,100
iceberg,trino,syn_q5,52.4;135.4;85.7;62.9;23.2|111.8;157.7;207.1;254.7;106.0,4581.06,ssb,100
iceberg,trino,syn_q6,96.3;131.8;109.6;179.0;35.5;105.8|65.9;42.7;57.1;143.1;84.6,5390.22,ssb,100
iceberg,trino,syn_q6,12.7;74.1;66.1;138.1;46.7|249.8;159.4;35.2;204.1;63.6;50.8,5547.64,ssb,100
iceberg,trino,syn_q6,187.8;11.3;82.9;94.9;60.7;72.6|85.9;114.3;78.5,4077.28,ssb,100
iceberg,trino,syn_q6,98.4;40.3;140.4;185.4|210.2;195.2;282.8;116.6;74.0,5360.80,ssb,100
iceberg,trino,syn_q6,100.9;96.4;197.9;81.0;143.4|229.6;242.6;249.4;230.9;207.3;182.8,5459.51,ssb,100
iceberg,trino,syn_q6,109.8;110.4;78.7;184.3|27.9;168.8;156.6,4035.51,ssb,100
iceberg,trino,syn_q6,112.0;41.3;172.4;93.9;139.3;146.2;102.9;180.8|244.5;141.5;158.8;142.5;26.7;144.1,8751.02,ssb,100
iceberg,trino,syn_q6,147.4;85.2;165.1;151.7;119.9;18.6|213.1;166.9;27.5;269.3;296.0,5763.75,ssb,100
iceberg,trino,syn_q6,16.0;87.7;156.1;155.5;195.9;132.7;89.9|140.1;276.0;119.5;33.3;289.6;263.6,3497.49,ssb,100
iceberg,trino,syn_q6,134.2;76.1;43.9;112.1;110.5|252.1;229.3;293.8;144.3,6088.51,ssb,100
iceberg,trino,syn_q6,90.6;82.1;53.6;97.5;39.5;45.8;176.3;155.4|244.7;131.6;232.2,3732.33,ssb,100
iceberg,trino,syn_q6,55.7;22.8;122.8;94.8|81.0;22.8;137.3,6331.67,ssb,100
iceberg,trino,syn_q6,51.3;174.1;20.7;105.7;65.0;165.0;149.0;70.6|78.7;264.1;295.9;161.2;129.9,7078.18,ssb,100
iceberg,trino,syn_q6,21.6;190.2;177.1;183.2;128.9;91.2|23.6;109.9;196.6;120.5;162.1;211.9,3908.81,ssb,100
iceberg,trino,syn_q6,38.4;81.5;153.3;100.0;171.4;67.1;144.4|275.3;173.1;290.7;171.6;48.9;80.4,6675.54,ssb,100
iceberg,trino,syn_q7,184.9;31.5;88.1;18.7;59.7;69.7;143.9|293.6;204.3;108.1;161.7,2783.79,ssb,100
iceberg,trino,syn_q7,28.1;135.7;57.2;75.7;138.5;83.1;169.4;116.1|13.4;281.0;156.6,4777.43,ssb,100
iceberg,trino,syn_q7,171.9;175.2;24.2;103.4;55.8;194.3;19.6|169.6;119.8;247.0;32.9,5965.14,ssb,100
