datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,query1,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,59.33,tpcds,1
hudi,presto,query10,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,53.07,tpcds,1
hudi,presto,query11,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,71.77,tpcds,1
hudi,presto,query12,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,68.86,tpcds,1
hudi,presto,query13,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,69.94,tpcds,1
hudi,presto,query14,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,65.84,tpcds,1
hudi,presto,query14_a,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,115.54,tpcds,1
hudi,presto,query14_b,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,111.78,tpcds,1
hudi,presto,query15,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,121.59,tpcds,1
hudi,presto,query16,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,180.63,tpcds,1
hudi,presto,query17,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,203.6,tpcds,1
hudi,presto,query18,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,196.63,tpcds,1
hudi,presto,query19,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,291.44,tpcds,1
hudi,presto,query2,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,323.39,tpcds,1
hudi,presto,query20,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,327.06,tpcds,1
hudi,presto,query21,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,358.59,tpcds,1
hudi,presto,query22,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,329.14,tpcds,1
hudi,presto,query23,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,390.44,tpcds,1
hudi,presto,query23_a,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,390.82,tpcds,1
hudi,presto,query23_b,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,353.55,tpcds,1
hudi,presto,query24,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,398.81,tpcds,1
hudi,presto,query24_a,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,379.94,tpcds,1
hudi,presto,query24_b,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,362.41,tpcds,1
hudi,presto,query25,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,390.94,tpcds,1
hudi,presto,query26,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,436.34,tpcds,1
hudi,presto,query27,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,399.55,tpcds,1
hudi,presto,query28,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,413.49,tpcds,1
hudi,presto,query29,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,438.41,tpcds,1
hudi,presto,query3,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,473.85,tpcds,1
hudi,presto,query31,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,463.42,tpcds,1
hudi,presto,query32,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,442.27,tpcds,1
hudi,presto,query33,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,498.61,tpcds,1
hudi,presto,query34,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,489.21,tpcds,1
hudi,presto,query35,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,507.77,tpcds,1
hudi,presto,query36,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,482.95,tpcds,1
hudi,presto,query37,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,481.82,tpcds,1
hudi,presto,query38,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,487.77,tpcds,1
hudi,presto,query39,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,496.25,tpcds,1
hudi,presto,query39_a,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,555.84,tpcds,1
hudi,presto,query39_b,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,499.79,tpcds,1
hudi,presto,query4,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,555.47,tpcds,1
hudi,presto,query40,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,553.3,tpcds,1
hudi,presto,query41,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,539.32,tpcds,1
hudi,presto,query42,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,530.55,tpcds,1
hudi,presto,query43,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,548.77,tpcds,1
hudi,presto,query44,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,623.06,tpcds,1
hudi,presto,query45,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,687.56,tpcds,1
hudi,presto,query46,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,752.79,tpcds,1
hudi,presto,query47,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,732.26,tpcds,1
hudi,presto,query48,0.5;0.5;256.0;1.0;1|128.0MB;32.0MB;10.0;4194304.0,719.67,tpcds,1
