datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,query1,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,25.13,tpcds,1
delta,spark,query10,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,28.04,tpcds,1
delta,spark,query11,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,40.07,tpcds,1
delta,spark,query12,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,40.23,tpcds,1
delta,spark,query13,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,44.14,tpcds,1
delta,spark,query14,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,43.25,tpcds,1
delta,spark,query14_a,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,46.76,tpcds,1
delta,spark,query14_b,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,66.48,tpcds,1
delta,spark,query15,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,74.49,tpcds,1
delta,spark,query16,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,76.43,tpcds,1
delta,spark,query17,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,94.41,tpcds,1
delta,spark,query18,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,116.36,tpcds,1
delta,spark,query19,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,137.05,tpcds,1
delta,spark,query2,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,127.51,tpcds,1
delta,spark,query20,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,146.24,tpcds,1
delta,spark,query21,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,160.93,tpcds,1
delta,spark,query22,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,171.78,tpcds,1
delta,spark,query23,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,167.34,tpcds,1
delta,spark,query23_a,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,187.72,tpcds,1
delta,spark,query23_b,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,193.93,tpcds,1
delta,spark,query24,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,195.56,tpcds,1
delta,spark,query24_a,132.0;27.0;27.0;132.0;27.0;27.0|1;1;1,174.98,tpcds,1
