datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,query51,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1500.47,tpcds,1
iceberg,spark,query52,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,5170.47,tpcds,1
iceberg,spark,query53,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1500.47,tpcds,1
iceberg,spark,query54,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1989.4,tpcds,1
iceberg,spark,query55,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,3853.9,tpcds,1
iceberg,spark,query56,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1921.45,tpcds,1
iceberg,spark,query57,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1686.67,tpcds,1
iceberg,spark,query58,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,3906.79,tpcds,1
iceberg,spark,query59,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,3082.79,tpcds,1
iceberg,spark,query6,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,5185.13,tpcds,1
iceberg,spark,query60,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,7910.6,tpcds,1
iceberg,spark,query61,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2978.52,tpcds,1
iceberg,spark,query62,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2718.37,tpcds,1
iceberg,spark,query63,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1500.47,tpcds,1
iceberg,spark,query64,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,5909.12,tpcds,1
iceberg,spark,query65,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,5689.62,tpcds,1
iceberg,spark,query66,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2160.16,tpcds,1
iceberg,spark,query67,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,4779.45,tpcds,1
iceberg,spark,query68,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,4550.87,tpcds,1
iceberg,spark,query69,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1613.03,tpcds,1
iceberg,spark,query7,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2973.15,tpcds,1
iceberg,spark,query70,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2605.42,tpcds,1
iceberg,spark,query71,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1595.43,tpcds,1
iceberg,spark,query72,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2257.61,tpcds,1
