datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,query1,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,467.88,tpcds,1
hudi,trino,query10,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,539.9,tpcds,1
hudi,trino,query11,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,531.83,tpcds,1
hudi,trino,query12,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,486.16,tpcds,1
hudi,trino,query13,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,534.93,tpcds,1
hudi,trino,query14,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,498.95,tpcds,1
hudi,trino,query14_a,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,514.85,tpcds,1
hudi,trino,query14_b,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,490.08,tpcds,1
hudi,trino,query15,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,520.54,tpcds,1
hudi,trino,query16,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,498.24,tpcds,1
hudi,trino,query17,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,529.1,tpcds,1
hudi,trino,query18,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,615.85,tpcds,1
hudi,trino,query19,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,664.84,tpcds,1
hudi,trino,query2,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,679.57,tpcds,1
hudi,trino,query20,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,574.44,tpcds,1
hudi,trino,query21,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,605.83,tpcds,1
hudi,trino,query22,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,636.16,tpcds,1
hudi,trino,query23,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,562.99,tpcds,1
hudi,trino,query23_a,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,565.3,tpcds,1
hudi,trino,query23_b,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,560.64,tpcds,1
hudi,trino,query24,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,572.42,tpcds,1
hudi,trino,query24_a,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,599.48,tpcds,1
hudi,trino,query24_b,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,735.39,tpcds,1
hudi,trino,query25,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,699.68,tpcds,1
hudi,trino,query26,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,662.05,tpcds,1
hudi,trino,query27,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,665.02,tpcds,1
hudi,trino,query28,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,765.83,tpcds,1
