datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,tpcds_merged,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2064.76,tpcds,10
iceberg,presto,tpcds_q1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2409.65,tpcds,10
iceberg,presto,tpcds_q10,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,4192.26,tpcds,10
iceberg,presto,tpcds_q11,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2178.76,tpcds,10
iceberg,presto,tpcds_q13,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2706.61,tpcds,10
iceberg,presto,tpcds_q14_a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,5241.14,tpcds,10
iceberg,presto,tpcds_q14_b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,1707.93,tpcds,10
iceberg,presto,tpcds_q14a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2974.55,tpcds,10
iceberg,presto,tpcds_q17,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3222.11,tpcds,10
iceberg,presto,tpcds_q2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,9621.94,tpcds,10
iceberg,presto,tpcds_q22,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,23266.34,tpcds,10
iceberg,presto,tpcds_q23_b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2037.46,tpcds,10
iceberg,presto,tpcds_q24,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,1805.36,tpcds,10
iceberg,presto,tpcds_q24_a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3815.34,tpcds,10
iceberg,presto,tpcds_q24b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,9138.32,tpcds,10
iceberg,presto,tpcds_q25,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2088.57,tpcds,10
iceberg,presto,tpcds_q26,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3301.12,tpcds,10
iceberg,presto,tpcds_q27,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3485.62,tpcds,10
iceberg,presto,tpcds_q28,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3337.33,tpcds,10
iceberg,presto,tpcds_q33,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2367.42,tpcds,10
iceberg,presto,tpcds_q36,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,5015.27,tpcds,10
iceberg,presto,tpcds_q37,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2745.38,tpcds,10
iceberg,presto,tpcds_q39,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,6695.13,tpcds,10
iceberg,presto,tpcds_q39_a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2996.1,tpcds,10
iceberg,presto,tpcds_q39b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3500.44,tpcds,10
iceberg,presto,tpcds_q40,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3644.73,tpcds,10
iceberg,presto,tpcds_q41,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,4327.62,tpcds,10
iceberg,presto,tpcds_q45,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2890.8,tpcds,10
iceberg,presto,tpcds_q47,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,1905.04,tpcds,10
iceberg,presto,tpcds_q49,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,5480.65,tpcds,10
iceberg,presto,tpcds_q5,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3215.78,tpcds,10
iceberg,presto,tpcds_q50,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,4231.72,tpcds,10
iceberg,presto,tpcds_q51,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,43945.35,tpcds,10
iceberg,presto,tpcds_q52,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,4445.27,tpcds,10
iceberg,presto,tpcds_q53,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3862.05,tpcds,10
iceberg,presto,tpcds_q55,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3544.44,tpcds,10
iceberg,presto,tpcds_q57,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,2832.03,tpcds,10
iceberg,presto,tpcds_q59,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,7501.64,tpcds,10
iceberg,presto,tpcds_q62,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=48,3498.02,tpcds,10
