datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,tpcds_merged,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1502.73,tpcds,10
delta,spark,tpcds_q1,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1547.96,tpcds,10
delta,spark,tpcds_q10,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3482.3,tpcds,10
delta,spark,tpcds_q11,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,6186.97,tpcds,10
delta,spark,tpcds_q13,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,10703.67,tpcds,10
delta,spark,tpcds_q14_a,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,8166.3,tpcds,10
delta,spark,tpcds_q14_b,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3068.87,tpcds,10
delta,spark,tpcds_q14a,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4454.44,tpcds,10
delta,spark,tpcds_q17,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2188.67,tpcds,10
delta,spark,tpcds_q2,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,6891.1,tpcds,10
delta,spark,tpcds_q22,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,34387.65,tpcds,10
delta,spark,tpcds_q23_a,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3171.43,tpcds,10
delta,spark,tpcds_q23_b,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1699.98,tpcds,10
delta,spark,tpcds_q24,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2253.16,tpcds,10
delta,spark,tpcds_q24_a,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3581.34,tpcds,10
delta,spark,tpcds_q24b,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,1630.56,tpcds,10
delta,spark,tpcds_q25,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,6656.0,tpcds,10
delta,spark,tpcds_q26,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,6761.45,tpcds,10
delta,spark,tpcds_q27,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4281.76,tpcds,10
delta,spark,tpcds_q28,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2001.38,tpcds,10
delta,spark,tpcds_q33,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,3152.32,tpcds,10
