datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,tpcds_merged,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1501.23,tpcds,10
hudi,spark,tpcds_q1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,6055.28,tpcds,10
hudi,spark,tpcds_q10,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1748.62,tpcds,10
hudi,spark,tpcds_q11,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4745.28,tpcds,10
hudi,spark,tpcds_q13,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3469.98,tpcds,10
hudi,spark,tpcds_q14_a,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3108.14,tpcds,10
hudi,spark,tpcds_q14_b,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,9419.43,tpcds,10
hudi,spark,tpcds_q14a,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3564.95,tpcds,10
hudi,spark,tpcds_q17,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1862.48,tpcds,10
hudi,spark,tpcds_q2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2125.1,tpcds,10
hudi,spark,tpcds_q22,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,23386.46,tpcds,10
hudi,spark,tpcds_q23_a,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1837.66,tpcds,10
hudi,spark,tpcds_q23_b,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5164.67,tpcds,10
hudi,spark,tpcds_q24,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,4807.33,tpcds,10
hudi,spark,tpcds_q24_a,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3388.1,tpcds,10
hudi,spark,tpcds_q24b,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5377.67,tpcds,10
