datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,tpcds_merged,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,3419.36,tpcds,10
hudi,trino,tpcds_q1,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,2412.88,tpcds,10
hudi,trino,tpcds_q10,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,5965.03,tpcds,10
hudi,trino,tpcds_q11,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,9040.22,tpcds,10
hudi,trino,tpcds_q13,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,3677.77,tpcds,10
hudi,trino,tpcds_q14_a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,6100.97,tpcds,10
hudi,trino,tpcds_q14_b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,3331.21,tpcds,10
hudi,trino,tpcds_q14a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,2215.77,tpcds,10
hudi,trino,tpcds_q17,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,3375.75,tpcds,10
hudi,trino,tpcds_q2,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,6556.45,tpcds,10
hudi,trino,tpcds_q22,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,25777.18,tpcds,10
hudi,trino,tpcds_q23_a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=16,3944.82,tpcds,10
