datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,query10,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,5848.64,tpcds,100
hudi,presto,query11,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,7754.91,tpcds,100
hudi,presto,query13,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,4085.37,tpcds,100
hudi,presto,query14_a,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,5681.38,tpcds,100
hudi,presto,query14_b,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,13719.7,tpcds,100
hudi,presto,query15,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,5954.38,tpcds,100
hudi,presto,query18,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,10335.14,tpcds,100
hudi,presto,query19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,10093.34,tpcds,100
hudi,presto,query23_a,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,7482.39,tpcds,100
hudi,presto,query24_b,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,11237.25,tpcds,100
hudi,presto,query26,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=18; task.concurrency=32; task.max-worker-threads=24,4571.19,tpcds,100
