datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,query10,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6805.28,tpcds,100
delta,trino,query11,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7270.66,tpcds,100
delta,trino,query13,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,3728.34,tpcds,100
delta,trino,query14_a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8310.28,tpcds,100
delta,trino,query14_b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7933.8,tpcds,100
delta,trino,query15,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,9758.46,tpcds,100
delta,trino,query18,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7907.74,tpcds,100
delta,trino,query19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,9760.23,tpcds,100
delta,trino,query23_a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,12889.49,tpcds,100
delta,trino,query24_b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,3920.0,tpcds,100
delta,trino,query26,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,12310.8,tpcds,100
delta,trino,query27,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,11346.96,tpcds,100
delta,trino,query28,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,11512.65,tpcds,100
delta,trino,query29,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7446.64,tpcds,100
delta,trino,query3,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7992.62,tpcds,100
delta,trino,query33,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6284.7,tpcds,100
delta,trino,query34,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8139.87,tpcds,100
delta,trino,query36,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6865.03,tpcds,100
delta,trino,query38,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5619.77,tpcds,100
delta,trino,query39_a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5025.36,tpcds,100
delta,trino,query39_b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5902.08,tpcds,100
delta,trino,query41,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8070.81,tpcds,100
delta,trino,query43,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6977.69,tpcds,100
delta,trino,query44,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7394.18,tpcds,100
delta,trino,query46,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6904.59,tpcds,100
delta,trino,query47,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7198.5,tpcds,100
delta,trino,query48,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7530.79,tpcds,100
delta,trino,query49,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6590.88,tpcds,100
delta,trino,query51,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6386.08,tpcds,100
delta,trino,query52,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,9404.43,tpcds,100
delta,trino,query53,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5742.89,tpcds,100
delta,trino,query55,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7339.86,tpcds,100
delta,trino,query56,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,11950.85,tpcds,100
delta,trino,query58,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5836.57,tpcds,100
delta,trino,query59,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,16414.79,tpcds,100
delta,trino,query6,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,3183.58,tpcds,100
