datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db1,16;200;20;18;18;32;32,6854.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,5957.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,1785.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,6229.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,3143.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,4029.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3627.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1283.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3431.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3006.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3857.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,1949.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,3498.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,6721.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,719.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3389.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2295.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,4617.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,3882.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5228.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,5725.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,6409.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,7002.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,8190.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,3740.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,5336.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,3994.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,3576.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,4264.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,2230.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3989.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,4842.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,4730.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,4265.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,4501.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,9002.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,2382.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,5332.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,3637.0,tpch,1
