datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,db1,16;200;20;18;18;32;32,4490.0,tpch,1
hudi,presto,db10,16;200;20;18;18;32;32,2140.0,tpch,1
hudi,presto,db11,16;200;20;18;18;32;32,1334.0,tpch,1
hudi,presto,db12,16;200;20;18;18;32;32,1271.0,tpch,1
hudi,presto,db13,16;200;20;18;18;32;32,1312.0,tpch,1
hudi,presto,db14,16;200;20;18;18;32;32,793.0,tpch,1
hudi,presto,db15,16;200;20;18;18;32;32,1185.0,tpch,1
hudi,presto,db16,16;200;20;18;18;32;32,706.0,tpch,1
hudi,presto,db17,16;200;20;18;18;32;32,1595.0,tpch,1
hudi,presto,db18,16;200;20;18;18;32;32,2236.0,tpch,1
hudi,presto,db19,16;200;20;18;18;32;32,827.0,tpch,1
hudi,presto,db2,16;200;20;18;18;32;32,1164.0,tpch,1
hudi,presto,db20,16;200;20;18;18;32;32,1043.0,tpch,1
hudi,presto,db21,16;200;20;18;18;32;32,4585.0,tpch,1
hudi,presto,db22,16;200;20;18;18;32;32,554.0,tpch,1
hudi,presto,db3,16;200;20;18;18;32;32,1264.0,tpch,1
hudi,presto,db4,16;200;20;18;18;32;32,717.0,tpch,1
hudi,presto,db5,16;200;20;18;18;32;32,1999.0,tpch,1
hudi,presto,db6,16;200;20;18;18;32;32,477.0,tpch,1
hudi,presto,db7,16;200;20;18;18;32;32,2123.0,tpch,1
hudi,presto,db8,16;200;20;18;18;32;32,2412.0,tpch,1
hudi,presto,db9,16;200;20;18;18;32;32,2574.0,tpch,1
hudi,presto,db1,16;200;20;18;18;32;32,5175.0,tpch,1
hudi,presto,db10,16;200;20;18;18;32;32,5567.0,tpch,1
hudi,presto,db11,16;200;20;18;18;32;32,3222.0,tpch,1
hudi,presto,db12,16;200;20;18;18;32;32,2395.0,tpch,1
hudi,presto,db13,16;200;20;18;18;32;32,1908.0,tpch,1
hudi,presto,db14,16;200;20;18;18;32;32,1069.0,tpch,1
