datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,db1,18;256;20;18;16;16,2721.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3486.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,788.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1803.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1852.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1263.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1415.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,1008.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1633.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1653.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1034.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,1196.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1414.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2439.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,1165.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2394.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,1755.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,4757.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,825.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2410.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,2414.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2546.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2721.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3486.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,788.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1803.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1852.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1263.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1415.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,1008.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1633.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1653.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1034.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,1196.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1414.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2439.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,1165.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2394.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,1755.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,4757.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,825.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2410.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,2414.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2546.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2721.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3486.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,788.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1803.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1852.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1263.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1415.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,1008.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1633.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1653.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1034.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,1196.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1414.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2439.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,1165.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2394.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,1755.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,4757.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,825.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2410.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,2414.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2546.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2949.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,4594.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,1599.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1877.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,2180.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1587.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1932.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,848.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1864.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,2783.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1246.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,901.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1261.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2665.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,434.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,3055.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,692.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2509.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,902.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,1955.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1438.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2985.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2949.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,4594.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,1599.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1877.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,2180.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1587.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1932.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,848.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1864.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,2783.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1246.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,901.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1261.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2665.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,434.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,3055.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,692.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2509.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,902.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,1955.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1438.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2985.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2949.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,4594.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,1599.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1877.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,2180.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1587.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1932.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,848.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1864.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,2783.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1246.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,901.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1261.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2665.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,434.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,3055.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,692.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2509.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,902.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,1955.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1438.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2985.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,3899.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3385.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,977.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,2894.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1622.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1355.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1628.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,703.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1317.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,2554.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1512.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,1193.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1358.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2683.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,517.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,1723.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,724.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2080.0,tpch,1
