datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,db1,55.3;17.6;18.1;26.5;15.8;111.0;160.0|,3056.14,tpch,1
hudi,trino,db1,19.9;18.0;18.9;16.1;30.3;29.9;185.8|0.9;1.0;0.9,3185.38,tpch,1
hudi,trino,db1,105.1;13.1;38.5;21.4;274.2;248.3;268.1|,4750.98,tpch,1
hudi,trino,db1,107.1;14.2;20.3;38.2;267.5;235.1;264.2|0.0;0.0;0.0,4579.08,tpch,1
hudi,trino,db1,20.1;18.4;17.2;19.2;32.0;33.6;211.2|1.1;0.0;0.0,6422.49,tpch,1
hudi,trino,db1,56.5;17.7;27.8;18.0;15.6;103.2;166.7|0.0;0.0;0.0,5472.98,tpch,1
hudi,trino,db1,95.0;13.3;21.0;34.6;237.4;236.0;278.8|,7202.24,tpch,1
hudi,trino,db1,21.1;19.0;15.7;16.8;32.5;29.9;204.7|0.9;0.0;1.1,6385.00,tpch,1
hudi,trino,db1,104.5;14.7;20.3;35.6;272.5;223.7;290.1|1.0;1.1;0.0,8253.60,tpch,1
hudi,trino,db1,61.6;15.8;15.8;27.3;16.5;99.0;163.3|1.0;0.0;0.0,8821.66,tpch,1
hudi,trino,db1,21.3;18.4;15.2;17.4;34.0;33.0;201.9|,6582.10,tpch,1
hudi,trino,db1,29.4;14.1;16.0;11.1;135.4;33.8;108.4|0.9;1.0;1.1,7920.63,tpch,1
hudi,trino,db1,61.9;16.4;28.5;16.7;15.4;99.1;158.8|0.9;1.0;1.0,10885.49,tpch,1
hudi,trino,db1,95.0;14.1;33.7;18.9;275.7;231.5;291.7|0.0;1.0;1.0,7899.86,tpch,1
hudi,trino,db1,60.0;17.2;29.3;16.2;16.1;103.5;156.0|,8208.38,tpch,1
hudi,trino,db1,63.7;16.0;26.9;16.9;17.3;107.2;154.6|0.0;1.0;0.0,10140.15,tpch,1
hudi,trino,db1,99.7;13.4;21.1;36.5;266.5;245.5;273.6|0.0;0.0;1.1,8151.52,tpch,1
hudi,trino,db1,31.8;15.5;14.1;10.5;132.5;35.1;103.3|,12067.63,tpch,1
hudi,trino,db10,56.6;16.0;15.9;27.2;14.8;97.9;150.7|,3579.08,tpch,1
hudi,trino,db10,104.1;13.8;33.5;20.8;255.4;252.6;291.1|,4732.03,tpch,1
hudi,trino,db10,18.8;17.3;18.1;16.6;32.7;32.2;214.6|1.0;1.1;1.0,6556.70,tpch,1
hudi,trino,db10,56.1;15.9;27.0;17.0;17.3;107.7;164.5|0.0;0.0;0.0,6703.38,tpch,1
hudi,trino,db10,20.1;18.3;16.1;18.9;30.7;34.4;196.7|1.0;0.0;0.0,7751.89,tpch,1
hudi,trino,db10,19.4;19.1;15.0;17.5;30.8;31.0;205.1|,6401.62,tpch,1
hudi,trino,db10,104.9;14.5;20.6;33.5;263.7;236.2;273.8|0.0;0.0;0.0,5757.39,tpch,1
hudi,trino,db10,18.6;16.8;16.5;16.7;33.7;32.2;208.7|1.0;0.0;1.0,6641.74,tpch,1
hudi,trino,db10,62.0;16.0;17.0;26.9;15.7;95.7;155.6|0.9;0.0;0.0,6849.90,tpch,1
hudi,trino,db10,28.3;15.1;15.2;10.4;123.8;32.3;103.9|1.1;1.0;1.0,6758.05,tpch,1
hudi,trino,db10,101.9;14.0;18.6;37.7;246.3;218.6;293.0|0.0;0.0;1.0,7680.15,tpch,1
hudi,trino,db10,58.5;18.1;28.3;17.8;15.5;100.0;149.0|0.0;1.0;0.0,8658.90,tpch,1
hudi,trino,db10,63.4;16.6;29.3;18.0;16.7;108.8;148.1|,6848.59,tpch,1
hudi,trino,db10,106.3;13.0;19.7;35.0;260.4;226.7;260.0|,7968.31,tpch,1
hudi,trino,db10,61.7;16.1;26.6;16.1;15.5;110.6;163.4|1.0;1.1;1.0,9758.09,tpch,1
hudi,trino,db10,101.4;14.6;36.7;19.6;239.8;224.7;289.4|0.0;1.0;1.1,9280.67,tpch,1
hudi,trino,db10,110.5;14.1;20.1;35.4;238.0;246.9;301.5|0.9;1.0;0.0,9554.32,tpch,1
hudi,trino,db10,31.0;16.2;14.1;11.7;121.3;33.5;113.5|,9580.99,tpch,1
hudi,trino,db1,64.6;17.0;16.1;25.9;14.9;105.3;144.1|,3548.68,tpch,1
hudi,trino,db1,18.5;18.2;18.0;16.9;34.4;32.8;215.8|1.0;1.0;1.0,3862.17,tpch,1
hudi,trino,db1,100.2;15.1;38.3;20.8;271.3;234.0;258.7|,4435.16,tpch,1
hudi,trino,db1,99.2;14.7;20.7;33.1;249.4;242.8;262.6|0.0;0.0;0.0,4584.59,tpch,1
hudi,trino,db1,19.3;18.4;16.5;18.8;32.9;29.5;215.1|1.0;0.0;0.0,6358.43,tpch,1
hudi,trino,db1,59.5;16.0;28.9;17.8;14.8;110.2;163.7|0.0;0.0;0.0,6879.55,tpch,1
hudi,trino,db1,102.7;13.5;19.6;38.6;274.7;253.8;281.4|,6757.86,tpch,1
hudi,trino,db1,18.8;18.1;14.8;18.3;33.8;32.9;185.2|1.0;0.0;1.0,7115.71,tpch,1
hudi,trino,db1,105.1;14.4;20.0;37.8;271.9;223.1;288.0|0.9;0.9;0.0,7592.72,tpch,1
hudi,trino,db1,63.6;16.9;16.2;29.2;15.8;103.9;159.8|0.9;0.0;0.0,7941.14,tpch,1
hudi,trino,db1,19.8;18.7;15.6;17.5;31.6;31.1;196.3|,7548.79,tpch,1
hudi,trino,db1,27.7;16.1;15.6;10.6;137.6;32.9;100.4|1.0;1.1;1.0,8624.32,tpch,1
hudi,trino,db1,55.6;15.8;27.3;16.4;16.4;100.4;149.7|1.0;1.0;1.0,7854.97,tpch,1
hudi,trino,db1,105.2;15.1;34.8;19.9;247.3;222.5;288.9|0.0;1.0;1.0,9890.19,tpch,1
hudi,trino,db1,57.1;15.7;28.5;16.6;15.0;95.8;146.1|,8544.24,tpch,1
hudi,trino,db1,56.4;17.1;27.7;18.0;16.4;100.5;157.6|0.0;1.0;0.0,9286.06,tpch,1
hudi,trino,db1,98.8;15.0;18.9;33.6;262.9;235.5;300.7|0.0;0.0;1.0,10528.78,tpch,1
hudi,trino,db1,31.0;14.7;15.5;10.9;137.0;31.4;98.4|,11512.96,tpch,1
hudi,trino,db10,61.0;18.3;16.5;27.9;16.5;103.3;158.1|,3502.60,tpch,1
hudi,trino,db10,101.6;13.8;37.4;20.6;257.1;236.3;278.2|,6335.02,tpch,1
hudi,trino,db10,20.7;18.1;16.7;15.5;29.9;32.6;204.3|0.9;0.9;1.0,5456.33,tpch,1
hudi,trino,db10,62.3;17.4;25.9;16.5;16.4;97.0;154.0|0.0;0.0;0.0,7455.07,tpch,1
hudi,trino,db10,21.3;19.4;16.1;19.2;34.2;32.6;201.2|1.1;0.0;0.0,5423.92,tpch,1
hudi,trino,db10,21.2;16.8;15.2;18.0;30.6;32.0;191.7|,6383.25,tpch,1
