datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,tpch_0_q12,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,1690.14,tpch,10
hudi,presto,tpch_0_q13,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,6506.64,tpch,10
hudi,presto,tpch_0_q15,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,7417.85,tpch,10
hudi,presto,tpch_0_q18,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,13157.08,tpch,10
hudi,presto,tpch_0_q2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3374.9,tpch,10
hudi,presto,tpch_0_q20,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3028.46,tpch,10
hudi,presto,tpch_0_q22,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,14478.27,tpch,10
hudi,presto,tpch_0_q3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,6238.17,tpch,10
hudi,presto,tpch_0_q6,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,15766.18,tpch,10
hudi,presto,tpch_0_q8,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,4665.94,tpch,10
hudi,presto,tpch_0_q9,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,15862.96,tpch,10
hudi,presto,tpch_1_q1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,7607.08,tpch,10
hudi,presto,tpch_1_q10,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,52915.13,tpch,10
hudi,presto,tpch_1_q12,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,13470.13,tpch,10
hudi,presto,tpch_1_q13,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,12361.14,tpch,10
hudi,presto,tpch_1_q16,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,4399.57,tpch,10
hudi,presto,tpch_1_q17,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,29381.38,tpch,10
hudi,presto,tpch_1_q18,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,25223.02,tpch,10
hudi,presto,tpch_1_q19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,7274.48,tpch,10
hudi,presto,tpch_1_q2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,8874.65,tpch,10
hudi,presto,tpch_1_q20,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,2320.75,tpch,10
hudi,presto,tpch_1_q3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3763.91,tpch,10
hudi,presto,tpch_1_q4,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,24139.45,tpch,10
hudi,presto,tpch_1_q5,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,16446.29,tpch,10
hudi,presto,tpch_1_q7,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,50933.0,tpch,10
hudi,presto,tpch_1_q8,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,10321.91,tpch,10
hudi,presto,tpch_1_q9,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,27986.24,tpch,10
hudi,presto,tpch_2_q1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,5967.65,tpch,10
hudi,presto,tpch_2_q11,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,10986.91,tpch,10
hudi,presto,tpch_2_q12,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,3656.32,tpch,10
hudi,presto,tpch_2_q14,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,8159.19,tpch,10
hudi,presto,tpch_2_q19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=100; query.max-memory=16; query.max-memory-per-node=14; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,5034.94,tpch,10
