datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,tpch_0_q1,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,8093.0,tpch,10
iceberg,spark,tpch_0_q1,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,10278.0,tpch,10
iceberg,spark,tpch_0_q1,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,12053.0,tpch,10
iceberg,spark,tpch_0_q1,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,7010.0,tpch,10
iceberg,spark,tpch_0_q1,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,12641.0,tpch,10
iceberg,spark,tpch_0_q1,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,6692.0,tpch,10
iceberg,spark,tpch_0_q1,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,8325.0,tpch,10
iceberg,spark,tpch_0_q1,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,11845.0,tpch,10
iceberg,spark,tpch_0_q1,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,12885.0,tpch,10
iceberg,spark,tpch_0_q1,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,27805.0,tpch,10
iceberg,spark,tpch_0_q10,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,13743.0,tpch,10
iceberg,spark,tpch_0_q10,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,17139.0,tpch,10
iceberg,spark,tpch_0_q10,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,14604.0,tpch,10
iceberg,spark,tpch_0_q10,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,13708.0,tpch,10
iceberg,spark,tpch_0_q10,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,15453.0,tpch,10
iceberg,spark,tpch_0_q10,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,13495.0,tpch,10
iceberg,spark,tpch_0_q10,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,14903.0,tpch,10
iceberg,spark,tpch_0_q10,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,18866.0,tpch,10
iceberg,spark,tpch_0_q10,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,14849.0,tpch,10
iceberg,spark,tpch_0_q10,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,13968.0,tpch,10
iceberg,spark,tpch_0_q11,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,3506.0,tpch,10
iceberg,spark,tpch_0_q11,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,5750.0,tpch,10
iceberg,spark,tpch_0_q11,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,4013.0,tpch,10
iceberg,spark,tpch_0_q11,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,4343.0,tpch,10
iceberg,spark,tpch_0_q11,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,3745.0,tpch,10
iceberg,spark,tpch_0_q11,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,3652.0,tpch,10
iceberg,spark,tpch_0_q11,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,7663.0,tpch,10
iceberg,spark,tpch_0_q11,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,4674.0,tpch,10
iceberg,spark,tpch_0_q11,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,3661.0,tpch,10
iceberg,spark,tpch_0_q11,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,3558.0,tpch,10
iceberg,spark,tpch_0_q12,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,10175.0,tpch,10
iceberg,spark,tpch_0_q12,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,32066.0,tpch,10
iceberg,spark,tpch_0_q12,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,5443.0,tpch,10
iceberg,spark,tpch_0_q12,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,11490.0,tpch,10
iceberg,spark,tpch_0_q12,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,7127.0,tpch,10
iceberg,spark,tpch_0_q12,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,9980.0,tpch,10
iceberg,spark,tpch_0_q12,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,46157.0,tpch,10
iceberg,spark,tpch_0_q12,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,48781.0,tpch,10
iceberg,spark,tpch_0_q12,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,29521.0,tpch,10
iceberg,spark,tpch_0_q12,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,39448.0,tpch,10
iceberg,spark,tpch_0_q13,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,2963.0,tpch,10
iceberg,spark,tpch_0_q13,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,3124.0,tpch,10
