datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,tpch_0_q1,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,52851.0,tpch,10
delta,trino,tpch_0_q1,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;1,56476.0,tpch,10
delta,trino,tpch_0_q1,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,68778.0,tpch,10
delta,trino,tpch_0_q1,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;0;1,73250.0,tpch,10
delta,trino,tpch_0_q1,103.0;14.0;36.0;20.0;256.0;237.0;280.0|1;1;0,54322.0,tpch,10
delta,trino,tpch_0_q1,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;1;0,72039.0,tpch,10
delta,trino,tpch_0_q1,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,74396.0,tpch,10
delta,trino,tpch_0_q1,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;0;1,74959.0,tpch,10
delta,trino,tpch_0_q1,60.0;17.0;17.0;28.0;16.0;103.0;156.0|0;0;1,51848.0,tpch,10
delta,trino,tpch_0_q1,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,69409.0,tpch,10
delta,trino,tpch_0_q1,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;0;0,68755.0,tpch,10
delta,trino,tpch_0_q1,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,69470.0,tpch,10
delta,trino,tpch_0_q1,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,85897.0,tpch,10
delta,trino,tpch_0_q1,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,54461.0,tpch,10
delta,trino,tpch_0_q1,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;1;1,77517.0,tpch,10
delta,trino,tpch_0_q1,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,69376.0,tpch,10
delta,trino,tpch_0_q1,136.0;17.0;36.0;21.0;128.0;155.0;232.0|1;0;0,77284.0,tpch,10
delta,trino,tpch_0_q1,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;0;0,55119.0,tpch,10
delta,trino,tpch_0_q1,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,73593.0,tpch,10
delta,trino,tpch_0_q1,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;0;1,74274.0,tpch,10
delta,trino,tpch_0_q10,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,28915.0,tpch,10
delta,trino,tpch_0_q10,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;1,26896.0,tpch,10
delta,trino,tpch_0_q10,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,32318.0,tpch,10
delta,trino,tpch_0_q10,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;0;1,37378.0,tpch,10
delta,trino,tpch_0_q10,103.0;14.0;36.0;20.0;256.0;237.0;280.0|1;1;0,21908.0,tpch,10
delta,trino,tpch_0_q10,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;1;0,36848.0,tpch,10
delta,trino,tpch_0_q10,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,36549.0,tpch,10
delta,trino,tpch_0_q10,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;0;1,34602.0,tpch,10
delta,trino,tpch_0_q10,60.0;17.0;17.0;28.0;16.0;103.0;156.0|0;0;1,22073.0,tpch,10
delta,trino,tpch_0_q10,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,32268.0,tpch,10
delta,trino,tpch_0_q10,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;0;0,30705.0,tpch,10
delta,trino,tpch_0_q10,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,29273.0,tpch,10
delta,trino,tpch_0_q10,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,34334.0,tpch,10
delta,trino,tpch_0_q10,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,28368.0,tpch,10
delta,trino,tpch_0_q10,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;1;1,35218.0,tpch,10
delta,trino,tpch_0_q10,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,36328.0,tpch,10
delta,trino,tpch_0_q10,136.0;17.0;36.0;21.0;128.0;155.0;232.0|1;0;0,34955.0,tpch,10
delta,trino,tpch_0_q10,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;0;0,25814.0,tpch,10
delta,trino,tpch_0_q10,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,37215.0,tpch,10
delta,trino,tpch_0_q10,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;0;1,35349.0,tpch,10
delta,trino,tpch_0_q11,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,6074.0,tpch,10
delta,trino,tpch_0_q11,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;1,5654.0,tpch,10
delta,trino,tpch_0_q11,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,6207.0,tpch,10
delta,trino,tpch_0_q11,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;0;1,9197.0,tpch,10
delta,trino,tpch_0_q11,103.0;14.0;36.0;20.0;256.0;237.0;280.0|1;1;0,6944.0,tpch,10
delta,trino,tpch_0_q11,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;1;0,6372.0,tpch,10
delta,trino,tpch_0_q11,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,7185.0,tpch,10
delta,trino,tpch_0_q11,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;0;1,8082.0,tpch,10
delta,trino,tpch_0_q11,60.0;17.0;17.0;28.0;16.0;103.0;156.0|0;0;1,5996.0,tpch,10
delta,trino,tpch_0_q11,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,6824.0,tpch,10
delta,trino,tpch_0_q11,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,6965.0,tpch,10
delta,trino,tpch_0_q11,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,7193.0,tpch,10
delta,trino,tpch_0_q11,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,5563.0,tpch,10
delta,trino,tpch_0_q11,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;1;1,7612.0,tpch,10
delta,trino,tpch_0_q11,136.0;17.0;36.0;21.0;128.0;155.0;232.0|1;0;0,7397.0,tpch,10
delta,trino,tpch_0_q11,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;0;0,6538.0,tpch,10
delta,trino,tpch_0_q11,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,6831.0,tpch,10
delta,trino,tpch_0_q11,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;0;1,7782.0,tpch,10
delta,trino,tpch_0_q12,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,21427.0,tpch,10
delta,trino,tpch_0_q12,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;1,23462.0,tpch,10
delta,trino,tpch_0_q12,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,48233.0,tpch,10
delta,trino,tpch_0_q12,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;0;1,37950.0,tpch,10
delta,trino,tpch_0_q12,103.0;14.0;36.0;20.0;256.0;237.0;280.0|1;1;0,18208.0,tpch,10
delta,trino,tpch_0_q12,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;1;0,55578.0,tpch,10
delta,trino,tpch_0_q12,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,41985.0,tpch,10
delta,trino,tpch_0_q12,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;0;1,40452.0,tpch,10
delta,trino,tpch_0_q12,60.0;17.0;17.0;28.0;16.0;103.0;156.0|0;0;1,18645.0,tpch,10
delta,trino,tpch_0_q12,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,37541.0,tpch,10
delta,trino,tpch_0_q12,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,23491.0,tpch,10
delta,trino,tpch_0_q12,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,40459.0,tpch,10
delta,trino,tpch_0_q12,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,27803.0,tpch,10
delta,trino,tpch_0_q12,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;1;1,41849.0,tpch,10
delta,trino,tpch_0_q12,136.0;17.0;36.0;21.0;128.0;155.0;232.0|1;0;0,46282.0,tpch,10
delta,trino,tpch_0_q12,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;0;0,20828.0,tpch,10
delta,trino,tpch_0_q12,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,42058.0,tpch,10
delta,trino,tpch_0_q12,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;0;1,41169.0,tpch,10
delta,trino,tpch_0_q13,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,20925.0,tpch,10
delta,trino,tpch_0_q13,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;1,18816.0,tpch,10
delta,trino,tpch_0_q13,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;0;1,18521.0,tpch,10
delta,trino,tpch_0_q13,103.0;14.0;36.0;20.0;256.0;237.0;280.0|1;1;0,18835.0,tpch,10
delta,trino,tpch_0_q13,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;1;0,23316.0,tpch,10
delta,trino,tpch_0_q13,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,23788.0,tpch,10
delta,trino,tpch_0_q13,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;0;1,23613.0,tpch,10
delta,trino,tpch_0_q13,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,19217.0,tpch,10
delta,trino,tpch_0_q13,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,19185.0,tpch,10
delta,trino,tpch_0_q13,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,16184.0,tpch,10
delta,trino,tpch_0_q13,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;1;1,22011.0,tpch,10
delta,trino,tpch_0_q13,136.0;17.0;36.0;21.0;128.0;155.0;232.0|1;0;0,20073.0,tpch,10
