datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,db1,63.0;16.8;18.1;28.4;14.8;107.9;163.9|,23963.41,tpch,10
hudi,trino,db1,20.1;18.6;17.0;15.1;33.1;31.7;185.9|1.1;1.0;1.0,25192.63,tpch,10
hudi,trino,db1,102.7;13.4;37.1;19.3;262.5;225.1;287.4|,33765.60,tpch,10
hudi,trino,db1,104.5;14.5;18.9;34.4;249.1;225.2;262.9|0.0;0.0;0.0,29541.76,tpch,10
hudi,trino,db1,19.2;17.8;15.3;16.7;31.9;31.1;197.9|1.0;0.0;0.0,38124.00,tpch,10
hudi,trino,db1,57.0;15.8;29.0;18.1;15.6;110.5;160.9|0.0;0.0;0.0,39826.33,tpch,10
hudi,trino,db1,98.5;13.1;21.0;38.5;265.7;252.4;292.5|,45702.46,tpch,10
hudi,trino,db1,19.4;18.9;15.5;17.0;33.7;32.5;209.6|0.9;0.0;1.1,51876.09,tpch,10
hudi,trino,db1,95.6;13.2;21.6;36.0;267.5;239.9;300.6|1.0;1.0;0.0,56112.95,tpch,10
hudi,trino,db1,60.6;17.6;16.7;27.5;16.2;95.0;144.3|1.0;0.0;0.0,54398.76,tpch,10
hudi,trino,db1,19.0;17.6;17.2;18.7;29.6;30.3;190.8|,61984.57,tpch,10
hudi,trino,db1,28.1;14.4;16.1;10.3;134.7;35.3;101.5|1.0;1.0;0.9,67797.06,tpch,10
hudi,trino,db1,62.0;18.1;26.0;18.3;17.0;105.3;152.2|0.9;1.0;1.0,72222.21,tpch,10
hudi,trino,db1,110.3;14.2;38.9;20.3;253.7;245.9;280.6|0.0;1.1;1.0,51132.77,tpch,10
hudi,trino,db1,64.2;17.7;25.9;16.6;15.4;109.3;150.9|,66584.52,tpch,10
hudi,trino,db1,60.2;17.4;27.1;17.7;16.0;96.5;143.7|0.0;1.0;0.0,71299.98,tpch,10
hudi,trino,db1,108.2;14.6;21.1;33.6;264.1;233.2;284.0|0.0;0.0;1.1,64866.00,tpch,10
hudi,trino,db1,30.6;15.2;15.3;10.8;128.5;33.9;102.7|,59012.64,tpch,10
hudi,trino,db10,64.7;17.2;17.7;29.7;15.5;102.5;167.1|,23988.61,tpch,10
hudi,trino,db10,108.3;13.9;33.7;19.5;267.4;228.7;275.9|,37018.65,tpch,10
hudi,trino,db10,21.5;18.2;18.9;15.2;31.7;31.4;191.6|0.9;1.1;0.9,37446.86,tpch,10
hudi,trino,db10,62.9;16.6;29.4;18.3;15.1;95.9;155.9|0.0;0.0;0.0,51805.10,tpch,10
hudi,trino,db10,19.7;17.3;16.6;17.1;31.1;29.5;211.3|0.9;0.0;0.0,37944.92,tpch,10
hudi,trino,db10,19.0;16.9;15.4;18.5;29.8;29.8;186.7|,45823.11,tpch,10
hudi,trino,db10,95.5;13.1;19.9;34.9;246.1;239.3;302.2|0.0;0.0;0.0,49855.30,tpch,10
hudi,trino,db10,21.0;19.1;15.2;18.0;30.4;29.8;192.2|1.0;0.0;1.0,48737.27,tpch,10
hudi,trino,db10,62.4;17.0;15.7;28.0;16.2;102.4;159.6|1.0;0.0;0.0,52653.32,tpch,10
hudi,trino,db10,28.4;14.5;15.4;11.3;119.0;31.3;108.1|0.9;1.0;1.0,52744.08,tpch,10
hudi,trino,db10,101.4;14.2;18.8;38.1;255.3;244.5;283.2|0.0;0.0;1.0,45903.59,tpch,10
hudi,trino,db10,62.1;17.1;27.7;15.7;17.0;110.3;149.5|0.0;1.0;0.0,56564.14,tpch,10
hudi,trino,db10,60.8;18.2;29.7;15.8;15.2;109.5;144.0|,50361.46,tpch,10
hudi,trino,db10,103.2;15.1;19.6;38.1;256.1;254.3;282.6|,48342.85,tpch,10
hudi,trino,db10,64.2;16.1;28.1;16.8;15.1;101.0;167.7|1.0;1.0;1.1,55004.41,tpch,10
hudi,trino,db10,109.2;14.9;37.8;19.9;237.8;228.9;272.2|0.0;1.1;1.0,52738.94,tpch,10
hudi,trino,db10,109.5;12.9;20.8;33.2;257.6;248.4;263.4|1.0;0.9;0.0,55130.46,tpch,10
hudi,trino,db10,30.9;14.2;14.9;10.1;130.8;34.2;106.9|,53748.75,tpch,10
hudi,trino,tpch_0_q12,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,12980.17,tpch,10
hudi,trino,tpch_0_q13,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,13208.41,tpch,10
hudi,trino,tpch_0_q15,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,3285.83,tpch,10
hudi,trino,tpch_0_q18,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,17753.05,tpch,10
hudi,trino,tpch_0_q2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,19349.43,tpch,10
hudi,trino,tpch_0_q20,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,11692.4,tpch,10
hudi,trino,tpch_0_q22,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,2187.77,tpch,10
hudi,trino,tpch_0_q3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,2932.55,tpch,10
hudi,trino,tpch_0_q6,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,2266.2,tpch,10
hudi,trino,tpch_0_q8,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=48; task.max-worker-threads=48,1657.16,tpch,10
