datalake,engine,query name,conf,latency,benchmark,sf
iceberg,trino,db16,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,2380.10,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=16,4335.22,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=16,5545.39,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,6588.37,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,6373.50,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=20; query.max-total-memory-per-node=20; task.concurrency=24; task.max-worker-threads=32,7912.97,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=48,9285.72,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=32,11097.89,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,11490.91,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=24; task.max-worker-threads=24,20771.59,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,40131.06,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=24,31703.80,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,37072.06,tpch,10
iceberg,trino,db16,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=200; query.max-memory=16; query.max-memory-per-node=20; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=32,38167.35,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=16; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=16,2040.45,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=100; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=14; task.concurrency=32; task.max-worker-threads=32,2704.56,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=48,4040.95,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=16,4920.60,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=32,6765.41,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=16; task.concurrency=32; task.max-worker-threads=24,6605.63,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=18; query.max-total-memory-per-node=20; task.concurrency=48; task.max-worker-threads=48,9265.43,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=100; query.max-memory=28; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=48,28541.82,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=200; query.max-memory=20; query.max-memory-per-node=20; query.max-total-memory-per-node=20; task.concurrency=24; task.max-worker-threads=32,28683.83,tpch,10
iceberg,trino,db19,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=100; query.max-memory=20; query.max-memory-per-node=14; query.max-total-memory-per-node=16; task.concurrency=24; task.max-worker-threads=32,35799.88,tpch,10
