datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db19,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,26079.28,tpch,100
delta,presto,db3,7.2; 119.8; 48.4; 20.6; 30.2; 888.2; 928.5,46096.29,tpch,100
delta,presto,db16,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,16428.12,tpch,100
delta,presto,db1,17;122;47;17;17;2048;817,52074.36,tpch,100
delta,presto,db4,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,24408.19,tpch,100
delta,presto,db4,14.4; 200.9; 132.5; 25.1; 32.7; 284.9; 1015.7,24167.81,tpch,100
delta,presto,db13,7.3; 143.2; 51.2; 20.0; 36.5; 1080.0; 934.7,36792.18,tpch,100
delta,presto,db18,13.9; 202.6; 122.3; 25.3; 38.3; 249.3; 1217.9,48019.37,tpch,100
delta,presto,db17,22.7; 220.9; 17.9; 6.3; 5.9; 2341.2; 362.4,33550.30,tpch,100
delta,presto,db8,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,54803.48,tpch,100
delta,presto,db4,7.0; 137.8; 52.9; 19.1; 31.2; 1146.5; 945.3,21669.38,tpch,100
delta,presto,db2,17.3; 180.1; 21.6; 17.9; 19.4; 28.0; 33.1,29720.55,tpch,100
delta,presto,db17,23.0; 183.0; 14.1; 5.5; 5.5; 1902.4; 392.7,59555.33,tpch,100
delta,presto,db17,23.5; 182.0; 14.2; 5.6; 6.6; 2209.5; 352.9,38575.32,tpch,100
delta,presto,db11,23.5; 182.0; 14.2; 5.6; 6.6; 2209.5; 352.9,24460.55,tpch,100
delta,presto,db20,13.6; 210.3; 22.4; 19.8; 18.9; 28.6; 28.1,54364.64,tpch,100
delta,presto,db10,22.7; 220.9; 17.9; 6.3; 5.9; 2341.2; 362.4,54479.95,tpch,100
delta,presto,db18,27.1; 205.5; 18.1; 5.7; 5.6; 1845.2; 408.4,54668.53,tpch,100
delta,presto,db15,14.4; 200.9; 132.5; 25.1; 32.7; 284.9; 1015.7,60109.55,tpch,100
delta,presto,db17,15.1; 117.7; 48.3; 15.3; 18.7; 1924.0; 765.7,34440.59,tpch,100
delta,presto,db17,20;198;136;9;36;512;1784,38498.72,tpch,100
delta,presto,db6,7.3; 143.2; 51.2; 20.0; 36.5; 1080.0; 934.7,19748.78,tpch,100
delta,presto,db20,17;122;47;17;17;2048;817,43703.09,tpch,100
delta,presto,db19,17.3; 180.1; 21.6; 17.9; 19.4; 28.0; 33.1,32788.02,tpch,100
delta,presto,db2,14.3; 182.0; 19.5; 18.4; 20.2; 31.6; 30.2,23544.29,tpch,100
delta,presto,db9,22.7; 220.9; 17.9; 6.3; 5.9; 2341.2; 362.4,55374.43,tpch,100
delta,presto,db11,9.0; 143.3; 46.8; 16.5; 35.6; 999.6; 1051.3,24191.39,tpch,100
delta,presto,db2,25.2; 182.3; 16.1; 6.3; 6.6; 1970.7; 407.2,34973.16,tpch,100
delta,presto,db9,15.8; 114.5; 52.0; 16.8; 18.9; 2099.3; 925.9,37925.80,tpch,100
delta,presto,db15,14;223;138;24;38;256;1096,48892.89,tpch,100
delta,presto,db14,7.0; 137.8; 52.9; 19.1; 31.2; 1146.5; 945.3,34967.85,tpch,100
delta,presto,db13,15.3; 194.6; 18.0; 18.3; 20.2; 33.8; 31.8,25829.62,tpch,100
