datalake,engine,query name,conf,latency,benchmark,sf
hudi,presto,db20,12.0; 267.5; 120.4; 9.0; 33.4; 2071.3; 1020.6,24135.60,tpch,100
hudi,presto,db16,12;137;32;10;10;64;900,12363.80,tpch,100
hudi,presto,db9,15;153;119;35;39;64;1008,44785.66,tpch,100
hudi,presto,db17,8.3; 123.4; 49.6; 15.9; 16.1; 70.8; 467.3,30860.87,tpch,100
hudi,presto,db3,18;134;35;11;38;512;314,21291.01,tpch,100
hudi,presto,db11,21;288;132;35;35;1024;119,24890.40,tpch,100
hudi,presto,db3,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,31338.15,tpch,100
hudi,presto,db18,25.1; 182.7; 14.6; 6.6; 6.0; 1998.7; 349.0,54559.99,tpch,100
hudi,presto,db11,19.5; 174.6; 133.0; 9.2; 33.4; 517.5; 1818.6,18591.29,tpch,100
hudi,presto,db4,18.2; 194.2; 136.4; 13.8; 37.2; 538.7; 1921.6,17147.92,tpch,100
hudi,presto,db1,18.2; 194.2; 136.4; 13.8; 37.2; 538.7; 1921.6,79994.75,tpch,100
hudi,presto,db19,15;272;123;7;44;64;1958,19600.65,tpch,100
hudi,presto,db22,9;106;116;31;31;64;120,25855.15,tpch,100
hudi,presto,db5,18.2; 194.2; 136.4; 13.8; 37.2; 538.7; 1921.6,34814.54,tpch,100
hudi,presto,db9,27.4; 226.9; 14.0; 6.8; 6.0; 1958.0; 436.1,54853.40,tpch,100
hudi,presto,db18,13;193;124;29;43;256;1748,60547.65,tpch,100
hudi,presto,db6,13;193;124;29;43;256;1748,29143.51,tpch,100
hudi,presto,db9,21.3; 184.2; 154.2; 14.2; 37.5; 502.6; 1826.5,63407.51,tpch,100
hudi,presto,db13,16;200;20;18;18;32;32,18576.90,tpch,100
hudi,presto,db2,15;272;123;7;44;64;1958,23477.06,tpch,100
hudi,presto,db5,12.9; 179.8; 75.8; 22.5; 27.5; 877.3; 197.6,43622.64,tpch,100
hudi,presto,db5,12;137;32;10;10;64;900,36339.03,tpch,100
hudi,presto,db13,20.7; 129.9; 31.9; 11.2; 38.7; 462.7; 319.6,27820.02,tpch,100
