datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,db7,16;200;20;18;18;32;32,29901.72,tpch,100
iceberg,presto,db5,23.5;217.7;15.2;6.7;6.1;2002.8;391.1,20496.23,tpch,100
iceberg,presto,db1,17.4; 241.0; 15.8; 16.5; 18.9; 40.9; 40.3,34227.59,tpch,100
iceberg,presto,db14,26;207;16;6;6;2048;390,24775.57,tpch,100
iceberg,presto,db16,8.0; 129.8; 50.4; 16.6; 31.1; 883.2; 1008.5,17606.99,tpch,100
iceberg,presto,db13,8;137;51;18;32;1024;942,46604.82,tpch,100
iceberg,presto,db2,15.5; 186.3; 22.1; 18.9; 20.0; 27.4; 35.5,36929.48,tpch,100
iceberg,presto,db21,15.5; 186.3; 22.1; 18.9; 20.0; 27.4; 35.5,37804.01,tpch,100
iceberg,presto,db9,25.2; 185.7; 15.3; 5.7; 6.2; 1885.9; 446.0,43814.70,tpch,100
iceberg,presto,db21,15.1; 198.3; 19.0; 19.3; 16.4; 32.4; 34.4,49326.29,tpch,100
iceberg,presto,db22,6.9;131.3;54.1;20.0;31.8;963.9;910.8,24523.73,tpch,100
iceberg,presto,db15,20;198;136;9;36;512;1784,30506.02,tpch,100
iceberg,presto,db9,6.9; 140.4; 48.3; 21.2; 27.2; 987.9; 955.5,32204.58,tpch,100
iceberg,presto,db17,6.9;131.3;54.1;20.0;31.8;963.9;910.8,39804.87,tpch,100
iceberg,presto,db17,15.1; 198.3; 19.0; 19.3; 16.4; 32.4; 34.4,38648.26,tpch,100
iceberg,presto,db4,21.6; 209.9; 17.4; 5.9; 5.8; 2223.2; 394.8,22411.92,tpch,100
iceberg,presto,db22,8;137;51;18;32;1024;942,15930.43,tpch,100
iceberg,presto,db8,18.4; 188.6; 131.6; 8.0; 38.5; 515.2; 1879.3,41642.27,tpch,100
iceberg,presto,db6,27.0; 203.3; 18.0; 5.5; 6.3; 1836.6; 416.7,24690.01,tpch,100
iceberg,presto,db5,16.0; 221.6; 21.7; 14.0; 19.2; 33.4; 32.5,25104.69,tpch,100
iceberg,presto,db2,18.7;211.8;150.2;9.1;40.4;523.7;1645.5,24878.32,tpch,100
iceberg,presto,db11,26;207;16;6;6;2048;390,27756.34,tpch,100
iceberg,presto,db15,18.2; 216.4; 146.9; 8.6; 41.7; 515.7; 1463.7,40635.65,tpch,100
iceberg,presto,db2,21.5; 228.9; 13.8; 6.1; 5.5; 2276.0; 384.0,25173.82,tpch,100
iceberg,presto,db16,18.7;211.8;150.2;9.1;40.4;523.7;1645.5,20536.13,tpch,100
iceberg,presto,db20,20;198;136;9;36;512;1784,39237.16,tpch,100
iceberg,presto,db12,17.4; 241.0; 15.8; 16.5; 18.9; 40.9; 40.3,36665.43,tpch,100
iceberg,presto,db8,8.0; 129.8; 50.4; 16.6; 31.1; 883.2; 1008.5,30131.33,tpch,100
iceberg,presto,db3,6.9;131.3;54.1;20.0;31.8;963.9;910.8,29560.65,tpch,100
iceberg,presto,db21,20;198;136;9;36;512;1784,29774.36,tpch,100
iceberg,presto,db11,18.3; 227.1; 15.8; 17.9; 18.3; 37.2; 41.3,27549.24,tpch,100
