datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,db4,38.8; 4.5; 10.3; 136.3; 860.1; 7.2; 60.3; 0.7; 0.3,35496.55,tpch,100
delta,spark,db8,32.0; 4.1; 11.6; 126.9; 938.4; 8.1; 55.8; 0.5; 0.3,80864.98,tpch,100
delta,spark,db21,33.3;3.4;11.1;110.6;1047.0;6.2;62.8;0.4;0.3,131909.96,tpch,100
delta,spark,db20,35.1;3.4;11.2;139.4;1000.9;6.7;59.2;0.6;0.3,55258.69,tpch,100
delta,spark,db15,30.7;4.3;9.7;121.1;1035.9;6.5;68.1;0.5;0.2,80898.61,tpch,100
delta,spark,db11,31.6; 4.2; 11.9; 146.8; 1070.8; 8.3; 64.5; 0.5; 0.3,24215.93,tpch,100
delta,spark,db17,35.8; 3.8; 12.3; 122.7; 982.3; 7.0; 48.8; 0.7; 0.3,143217.82,tpch,100
delta,spark,db19,26.2; 4.2; 7.8; 113.7; 747.0; 7.3; 53.6; 0.4; 0.3,60268.72,tpch,100
delta,spark,db7,37.0; 3.8; 10.2; 139.1; 1034.9; 6.9; 46.7; 0.6; 0.3,120927.19,tpch,100
delta,spark,db10,28.1;3.9;8.7;118.3;830.5;7.9;52.3;0.5;0.3,75386.87,tpch,100
delta,spark,db8,26.5; 3.3; 8.7; 156.0; 875.6; 7.7; 54.9; 0.7; 0.3,91543.24,tpch,100
delta,spark,db14,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,33263.41,tpch,100
delta,spark,db7,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,151599.05,tpch,100
delta,spark,db20,26.2; 4.2; 7.8; 113.7; 747.0; 7.3; 53.6; 0.4; 0.3,69094.63,tpch,100
delta,spark,db9,30.3;3.7;9.9;145.0;923.6;6.5;55.0;0.6;0.3,148996.22,tpch,100
delta,spark,db22,32;4;10;128;923;7;60;0.499345510453;0.2490164503455,16834.74,tpch,100
delta,spark,db6,32.9; 3.6; 10.2; 116.3; 1132.0; 6.2; 66.1; 0.5; 0.3,47495.77,tpch,100
delta,spark,db9,36.6; 3.9; 11.7; 131.4; 980.2; 7.8; 55.6; 0.5; 0.3,113899.85,tpch,100
delta,spark,db1,38.8; 4.5; 10.3; 136.3; 860.1; 7.2; 60.3; 0.7; 0.3,30786.33,tpch,100
delta,spark,db2,32.9; 3.6; 10.2; 116.3; 1132.0; 6.2; 66.1; 0.5; 0.3,21823.61,tpch,100
delta,spark,db13,34.0; 4.3; 10.7; 131.8; 1015.4; 7.8; 56.8; 0.5; 0.3,35285.60,tpch,100
delta,spark,db19,29.3; 4.4; 7.9; 152.9; 940.6; 8.1; 70.6; 0.5; 0.2,57381.36,tpch,100
delta,spark,db11,29.3; 4.4; 7.9; 152.9; 940.6; 8.1; 70.6; 0.5; 0.2,31063.93,tpch,100
delta,spark,db13,28.7; 3.6; 8.6; 132.4; 743.0; 8.2; 59.1; 0.5; 0.3,41760.63,tpch,100
delta,spark,db22,28.7; 3.6; 8.6; 132.4; 743.0; 8.2; 59.1; 0.5; 0.3,14979.68,tpch,100
delta,spark,db21,31.6; 3.3; 10.0; 142.0; 955.2; 5.7; 54.0; 0.6; 0.3,95509.57,tpch,100
delta,spark,db5,32.2; 3.3; 11.8; 151.1; 887.2; 6.8; 67.9; 0.6; 0.3,126660.60,tpch,100
delta,spark,db14,38.8; 4.5; 10.3; 136.3; 860.1; 7.2; 60.3; 0.7; 0.3,46808.67,tpch,100
