datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,db8,199.5; 30.4; 25.4; 27.3; 25.9; 418.9|0.9; 0.0; 1.0,102916.22,tpch,100
hudi,spark,db22,183.5; 28.0; 30.2; 30.5; 31.0; 408.0|1; 0.0; 1.0,42422.00,tpch,100
hudi,spark,db19,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,38053.23,tpch,100
hudi,spark,db8,19.6; 18.2; 16.4; 15.5; 16.6; 256.0|0; 0.0; 1.1,116143.42,tpch,100
hudi,spark,db7,188.6;30.4;27.7;31.7;30.0;393.5|0;1.1;1.0,111364.04,tpch,100
hudi,spark,db1,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,18778.88,tpch,100
hudi,spark,db2,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,41012.28,tpch,100
hudi,spark,db1,19.7; 15.5; 16.3; 16.8; 17.3; 256.0|1; 1.1; 0.0,17194.42,tpch,100
hudi,spark,db17,190.8; 26.2; 29.0; 31.0; 30.1; 393.5|0; 1.1; 0.9,38085.62,tpch,100
hudi,spark,db3,19.9; 16.5; 20.4; 13.7; 17.1; 256.0|0; 0.0; 1.0,60955.99,tpch,100
hudi,spark,db4,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,69707.07,tpch,100
hudi,spark,db20,19.6; 18.2; 16.4; 15.5; 16.6; 256.0|0; 0.0; 1.1,36099.77,tpch,100
hudi,spark,db18,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,41711.05,tpch,100
hudi,spark,db10,188.6;30.4;27.7;31.7;30.0;393.5|0;1.1;1.0,22682.69,tpch,100
hudi,spark,db18,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,31791.68,tpch,100
hudi,spark,db7,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,70611.55,tpch,100
hudi,spark,db8,21.6; 16.8; 15.6; 16.4; 14.2; 256.0|1; 0.0; 0.0,129680.01,tpch,100
hudi,spark,db9,215.1; 29.1; 28.1; 29.0; 30.0; 408.0|0; 1.0; 1.1,137168.24,tpch,100
hudi,spark,db3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,54529.41,tpch,100
hudi,spark,db21,18.6; 18.7; 19.7; 17.7; 18.0; 256.0|1; 1.1; 1.1,47368.88,tpch,100
hudi,spark,db15,19.9; 16.5; 20.4; 13.7; 17.1; 256.0|0; 0.0; 1.0,24582.06,tpch,100
hudi,spark,db6,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,81376.00,tpch,100
hudi,spark,db22,188.6;30.4;27.7;31.7;30.0;393.5|0;1.1;1.0,53229.61,tpch,100
hudi,spark,db11,21.6; 16.8; 15.6; 16.4; 14.2; 256.0|1; 0.0; 0.0,23584.67,tpch,100
hudi,spark,db8,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,98940.43,tpch,100
hudi,spark,db6,22.1; 20.0; 17.4; 14.5; 17.7; 222.7|0; 0.0; 1.0,70025.74,tpch,100
hudi,spark,db9,21.6; 16.8; 15.6; 16.4; 14.2; 256.0|1; 0.0; 0.0,82102.34,tpch,100
hudi,spark,db8,20.5;18.4;19.1;13.8;17.8;222.7|0;0;1.1,126650.29,tpch,100
hudi,spark,db5,199.5; 30.4; 25.4; 27.3; 25.9; 418.9|0.9; 0.0; 1.0,57235.37,tpch,100
hudi,spark,db18,189.9; 29.2; 24.8; 28.4; 31.7; 393.5|0; 1.0; 1.0,47312.82,tpch,100
hudi,spark,db21,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,35506.10,tpch,100
hudi,spark,db11,177.7; 28.6; 28.0; 28.4; 31.5; 408.0|0; 1.0; 1.1,25189.90,tpch,100
hudi,spark,db3,20.5;18.4;19.1;13.8;17.8;222.7|0;0;1.1,63422.31,tpch,100
hudi,spark,db20,196.8; 28.3; 27.4; 30.5; 26.2; 408.0|0; 1.1; 0.0,48921.31,tpch,100
hudi,spark,db5,188.6;30.4;27.7;31.7;30.0;393.5|0;1.1;1.0,73404.91,tpch,100
hudi,spark,db9,22.2; 20.2; 18.7; 17.7; 14.9; 256.0|1; 0.0; 0.0,104868.56,tpch,100
hudi,spark,db21,185.4; 27.5; 25.3; 27.0; 30.4; 418.9|0.9; 0.0; 1.0,38778.80,tpch,100
hudi,spark,db9,189.1; 25.9; 32.2; 35.2; 29.3; 418.9|0.9; 0.0; 1.0,99562.35,tpch,100
hudi,spark,db1,183.5; 28.0; 30.2; 30.5; 31.0; 408.0|1; 0.0; 1.0,13597.26,tpch,100
hudi,spark,db20,185.4; 27.5; 25.3; 27.0; 30.4; 418.9|0.9; 0.0; 1.0,59910.39,tpch,100
hudi,spark,db21,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,37369.24,tpch,100
hudi,spark,db3,20.5;18.4;19.1;13.8;17.8;222.7|0;0;1.1,66068.48,tpch,100
hudi,spark,db17,19.0; 20.5; 17.6; 12.2; 19.4; 222.7|0; 0.0; 1.1,49424.59,tpch,100
hudi,spark,db14,19.9; 16.5; 20.4; 13.7; 17.1; 256.0|0; 0.0; 1.0,25385.60,tpch,100
hudi,spark,db2,17.8; 19.2; 17.9; 14.1; 16.8; 256.0|1; 1.0; 0.0,60889.29,tpch,100
hudi,spark,db21,189.1; 25.9; 32.2; 35.2; 29.3; 418.9|0.9; 0.0; 1.0,57304.47,tpch,100
hudi,spark,db17,215.1; 29.1; 28.1; 29.0; 30.0; 408.0|0; 1.0; 1.1,32146.37,tpch,100
hudi,spark,db17,177.7; 28.6; 28.0; 28.4; 31.5; 408.0|0; 1.0; 1.1,33360.38,tpch,100
hudi,spark,db11,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,24665.34,tpch,100
hudi,spark,db13,18.6; 18.7; 19.7; 17.7; 18.0; 256.0|1; 1.1; 1.1,22900.17,tpch,100
hudi,spark,db19,19.0; 20.5; 17.6; 12.2; 19.4; 222.7|0; 0.0; 1.1,44065.08,tpch,100
hudi,spark,db12,195.4; 27.3; 30.4; 27.6; 30.8; 418.9|0.9; 0.0; 1.0,15470.89,tpch,100
hudi,spark,db18,185.4; 27.5; 25.3; 27.0; 30.4; 418.9|0.9; 0.0; 1.0,40745.61,tpch,100
hudi,spark,db14,196.8; 28.3; 27.4; 30.5; 26.2; 408.0|0; 1.1; 0.0,26140.86,tpch,100
hudi,spark,db14,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,26778.65,tpch,100
hudi,spark,db7,189.9; 29.2; 24.8; 28.4; 31.7; 393.5|0; 1.0; 1.0,118276.80,tpch,100
hudi,spark,db4,178.4; 29.2; 28.8; 35.9; 26.1; 408.0|1; 0.0; 1.0,72103.78,tpch,100
hudi,spark,db15,19.6; 18.2; 16.4; 15.5; 16.6; 256.0|0; 0.0; 1.1,31711.46,tpch,100
hudi,spark,db6,201.3;29.8;28.3;31.5;27.9;418.9|0.9;0;1.0,70524.39,tpch,100
hudi,spark,db16,20.5;18.4;19.1;13.8;17.8;222.7|0;0;1.1,27410.54,tpch,100
hudi,spark,db6,19.7; 15.5; 16.3; 16.8; 17.3; 256.0|1; 1.1; 0.0,96327.16,tpch,100
hudi,spark,db8,17.8; 19.2; 17.9; 14.1; 16.8; 256.0|1; 1.0; 0.0,88125.34,tpch,100
hudi,spark,db4,20.5;18.4;19.1;13.8;17.8;222.7|0;0;1.1,79432.60,tpch,100
hudi,spark,db17,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,38833.79,tpch,100
hudi,spark,db22,22.1; 20.0; 17.4; 14.5; 17.7; 222.7|0; 0.0; 1.0,43062.87,tpch,100
hudi,spark,db1,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,16755.11,tpch,100
hudi,spark,db6,215.3; 29.3; 29.2; 28.4; 31.1; 393.5|0; 1.0; 0.9,64816.69,tpch,100
hudi,spark,db15,19.0; 20.5; 17.6; 12.2; 19.4; 222.7|0; 0.0; 1.1,25150.78,tpch,100
hudi,spark,db13,19.6; 18.2; 16.4; 15.5; 16.6; 256.0|0; 0.0; 1.1,23587.58,tpch,100
hudi,spark,db19,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,39566.90,tpch,100
hudi,spark,db14,21.6; 16.8; 15.6; 16.4; 14.2; 256.0|1; 0.0; 0.0,27083.00,tpch,100
hudi,spark,db10,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,22506.07,tpch,100
hudi,spark,db16,195.4; 27.3; 30.4; 27.6; 30.8; 418.9|0.9; 0.0; 1.0,40468.07,tpch,100
hudi,spark,db3,189.1; 25.9; 32.2; 35.2; 29.3; 418.9|0.9; 0.0; 1.0,53422.80,tpch,100
hudi,spark,db15,215.1; 29.1; 28.1; 29.0; 30.0; 408.0|0; 1.0; 1.1,33177.12,tpch,100
hudi,spark,db5,20.8; 20.9; 16.4; 13.5; 20.0; 222.7|0; 0.0; 1.0,70267.40,tpch,100
hudi,spark,db4,20.8; 20.9; 16.4; 13.5; 20.0; 222.7|0; 0.0; 1.0,79859.46,tpch,100
hudi,spark,db14,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,26026.92,tpch,100
hudi,spark,db7,172.7; 33.3; 27.0; 27.7; 26.6; 418.9|0.9; 0.0; 1.0,100517.12,tpch,100
hudi,spark,db10,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,21510.48,tpch,100
hudi,spark,db12,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,23369.15,tpch,100
hudi,spark,db15,196.8; 28.3; 27.4; 30.5; 26.2; 408.0|0; 1.1; 0.0,20744.15,tpch,100
hudi,spark,db16,18.5; 18.5; 17.9; 15.4; 18.2; 256.0|1; 0.9; 0.0,32203.57,tpch,100
hudi,spark,db17,18.6; 18.7; 19.7; 17.7; 18.0; 256.0|1; 1.1; 1.1,35831.75,tpch,100
hudi,spark,db19,20.5; 20.6; 17.3; 15.5; 16.3; 256.0|1; 1.1; 0.9,35643.57,tpch,100
hudi,spark,db20,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,41998.37,tpch,100
hudi,spark,db2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,58458.28,tpch,100
hudi,spark,db15,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,20056.03,tpch,100
hudi,spark,db9,201.3;29.8;28.3;31.5;27.9;418.9|0.9;0;1.0,108624.19,tpch,100
hudi,spark,db4,20.8; 20.6; 15.7; 17.7; 14.6; 256.0|1; 0.9; 0.9,60523.02,tpch,100
hudi,spark,db20,215.3; 29.3; 29.2; 28.4; 31.1; 393.5|0; 1.0; 0.9,38057.50,tpch,100
hudi,spark,db16,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,27951.35,tpch,100
hudi,spark,db2,196.8; 28.3; 27.4; 30.5; 26.2; 408.0|0; 1.1; 0.0,51354.88,tpch,100
hudi,spark,db15,18.6; 18.7; 19.7; 17.7; 18.0; 256.0|1; 1.1; 1.1,31404.03,tpch,100
hudi,spark,db16,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,29651.20,tpch,100
hudi,spark,db16,21.8; 19.3; 20.4; 14.6; 14.1; 256.0|1; 0.9; 0.0,44811.40,tpch,100
hudi,spark,db6,178.4; 29.2; 28.8; 35.9; 26.1; 408.0|1; 0.0; 1.0,58008.63,tpch,100
hudi,spark,db12,20.8; 20.6; 15.7; 17.7; 14.6; 256.0|1; 0.9; 0.9,19120.70,tpch,100
hudi,spark,db14,19.0; 20.5; 17.6; 12.2; 19.4; 222.7|0; 0.0; 1.1,26543.55,tpch,100
hudi,spark,db22,199.5; 30.4; 25.4; 27.3; 25.9; 418.9|0.9; 0.0; 1.0,44879.84,tpch,100
hudi,spark,db22,22.2; 20.2; 18.7; 17.7; 14.9; 256.0|1; 0.0; 0.0,65053.55,tpch,100
hudi,spark,db10,19.0; 20.5; 17.6; 12.2; 19.4; 222.7|0; 0.0; 1.1,19887.30,tpch,100
hudi,spark,db5,20.5;18.4;19.1;13.8;17.8;222.7|0;0;1.1,70268.22,tpch,100
hudi,spark,db13,19.5; 20.2; 16.4; 14.9; 13.7; 256.0|1; 1.1; 0.0,23092.88,tpch,100
hudi,spark,db2,190.8; 26.2; 29.0; 31.0; 30.1; 393.5|0; 1.1; 0.9,59897.90,tpch,100
hudi,spark,db2,189.9; 29.2; 24.8; 28.4; 31.7; 393.5|0; 1.0; 1.0,60303.08,tpch,100
hudi,spark,db5,183.5; 28.0; 30.2; 30.5; 31.0; 408.0|1; 0.0; 1.0,52879.28,tpch,100
hudi,spark,db10,196.8; 28.3; 27.4; 30.5; 26.2; 408.0|0; 1.1; 0.0,18156.28,tpch,100
hudi,spark,db3,185.4; 27.5; 25.3; 27.0; 30.4; 418.9|0.9; 0.0; 1.0,62907.06,tpch,100
hudi,spark,db9,19.9; 18.6; 17.5; 15.9; 14.9; 256.0|1; 0.0; 0.0,107114.13,tpch,100
