datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,db13,17.1;251.4;21.2;16.5;16.0;16.2,15554.36,tpch,100
delta,trino,db19,17.4; 221.8; 24.3; 15.4; 18.3; 16.4,27745.67,tpch,100
delta,trino,db4,17.4; 221.8; 24.3; 15.4; 18.3; 16.4,22346.06,tpch,100
delta,trino,db3,16.4; 258.8; 18.0; 19.9; 15.7; 16.9,49560.87,tpch,100
delta,trino,db10,17.4;224.4;22.8;15.9;17.7;16.5,68859.58,tpch,100
delta,trino,db17,18.5;226.1;21.7;19.2;17.3;17.8,50183.26,tpch,100
delta,trino,db15,16.7; 304.2; 19.0; 18.0; 16.1; 14.1,56066.91,tpch,100
delta,trino,db20,17.3; 277.5; 20.2; 18.4; 16.1; 18.9,39783.30,tpch,100
delta,trino,db19,18.0; 274.9; 16.9; 18.4; 12.5; 14.9,29668.96,tpch,100
delta,trino,db17,20.8; 252.1; 18.4; 17.2; 17.4; 13.5,61910.40,tpch,100
delta,trino,db4,17.0; 311.1; 17.1; 18.8; 14.8; 12.5,26554.00,tpch,100
delta,trino,db22,19.6; 281.0; 21.6; 19.0; 16.5; 17.4,19296.05,tpch,100
delta,trino,db4,20.8; 252.1; 18.4; 17.2; 17.4; 13.5,16996.94,tpch,100
delta,trino,db12,19.4; 236.5; 22.6; 14.1; 16.7; 17.1,26534.13,tpch,100
delta,trino,db5,19.9; 314.3; 18.2; 14.9; 14.8; 16.9,88785.63,tpch,100
delta,trino,db14,19.9; 314.3; 18.2; 14.9; 14.8; 16.9,29472.54,tpch,100
delta,trino,db6,15.3;276.5;20.0;18.6;16.9;16.3,37145.78,tpch,100
delta,trino,db3,17.4;224.4;22.8;15.9;17.7;16.5,57956.88,tpch,100
delta,trino,db21,19.4; 236.5; 22.6; 14.1; 16.7; 17.1,104665.80,tpch,100
delta,trino,db10,15.7;277.2;18.1;20.3;14.0;14.3,102870.70,tpch,100
delta,trino,db15,17.3; 277.5; 20.2; 18.4; 16.1; 18.9,48041.86,tpch,100
delta,trino,db20,13.5; 290.5; 18.7; 23.0; 15.6; 13.2,43001.61,tpch,100
delta,trino,db7,15.3; 259.0; 25.3; 20.3; 17.1; 15.1,59955.55,tpch,100
delta,trino,db8,19.4; 301.8; 15.7; 17.6; 14.9; 14.9,55247.54,tpch,100
delta,trino,db2,17.7; 271.6; 17.5; 18.3; 13.9; 16.2,14899.98,tpch,100
delta,trino,db11,20.0;280.7;18.5;17.2;16.6;17.3,17645.91,tpch,100
delta,trino,db8,17.8; 252.6; 21.4; 21.6; 16.7; 15.6,42296.55,tpch,100
delta,trino,db9,17.1;251.4;21.2;16.5;16.0;16.2,84109.42,tpch,100
delta,trino,db7,18.0; 274.9; 16.9; 18.4; 12.5; 14.9,41612.23,tpch,100
delta,trino,db14,18.4; 242.9; 20.7; 15.8; 15.3; 15.2,34434.54,tpch,100
delta,trino,db15,18.1; 261.9; 24.0; 15.8; 14.7; 18.4,62632.74,tpch,100
delta,trino,db2,19.9; 314.3; 18.2; 14.9; 14.8; 16.9,20280.38,tpch,100
delta,trino,db19,18;256;20;18;16;16,26471.44,tpch,100
delta,trino,db8,17.4;224.4;22.8;15.9;17.7;16.5,38033.70,tpch,100
delta,trino,db22,19.6; 281.0; 21.6; 19.0; 16.5; 17.4,17239.97,tpch,100
delta,trino,db5,16.0; 283.7; 17.7; 20.7; 15.5; 14.2,62048.77,tpch,100
delta,trino,db11,19.6; 281.0; 21.6; 19.0; 16.5; 17.4,11279.06,tpch,100
delta,trino,db13,16.1; 273.6; 18.0; 19.6; 19.0; 18.2,12395.37,tpch,100
delta,trino,db2,18.5; 197.5; 24.7; 13.5; 18.0; 18.6,22404.75,tpch,100
delta,trino,db21,19.9; 314.3; 18.2; 14.9; 14.8; 16.9,128940.20,tpch,100
delta,trino,db8,14.2; 247.3; 17.1; 18.8; 13.0; 13.2,42786.52,tpch,100
delta,trino,db13,20.3; 209.0; 20.7; 17.9; 19.6; 19.0,16965.35,tpch,100
delta,trino,db18,18.5; 197.5; 24.7; 13.5; 18.0; 18.6,65616.44,tpch,100
delta,trino,db7,16.4; 258.8; 18.0; 19.9; 15.7; 16.9,74589.57,tpch,100
delta,trino,db5,19.4; 301.8; 15.7; 17.6; 14.9; 14.9,74219.33,tpch,100
