datalake,engine,query name,conf,latency,benchmark,sf
iceberg,trino,db12,memory.heap-headroom-per-node=14.1; node-scheduler.max-splits-per-node=90.7; query.max-memory=25.8; query.max-memory-per-node=19.4; query.max-total-memory-per-node=16.3; task.concurrency=44.3; task.max-worker-threads=47.7,7692.77,tpch,100
iceberg,trino,db14,memory.heap-headroom-per-node=16.8; node-scheduler.max-splits-per-node=192.7; query.max-memory=21.5; query.max-memory-per-node=16.2; query.max-total-memory-per-node=16.3; task.concurrency=31.1; task.max-worker-threads=17.6,11683.55,tpch,100
iceberg,trino,db18,memory.heap-headroom-per-node=13.0; node-scheduler.max-splits-per-node=110.9; query.max-memory=24.8; query.max-memory-per-node=17.4; query.max-total-memory-per-node=16.0; task.concurrency=49.1; task.max-worker-threads=50.7,9505.82,tpch,100
iceberg,trino,db16,memory.heap-headroom-per-node=15.8; node-scheduler.max-splits-per-node=222.9; query.max-memory=31.2; query.max-memory-per-node=15.4; query.max-total-memory-per-node=14.4; task.concurrency=35.2; task.max-worker-threads=25.5,8640.09,tpch,100
iceberg,trino,db18,memory.heap-headroom-per-node=22.6; node-scheduler.max-splits-per-node=221.9; query.max-memory=36.6; query.max-memory-per-node=19.7; query.max-total-memory-per-node=17.8; task.concurrency=41.2; task.max-worker-threads=25.7,7956.19,tpch,100
iceberg,trino,db19,memory.heap-headroom-per-node=18.2; node-scheduler.max-splits-per-node=224.4; query.max-memory=20.6; query.max-memory-per-node=21.0; query.max-total-memory-per-node=17.5; task.concurrency=23.5; task.max-worker-threads=35.5,6572.01,tpch,100
iceberg,trino,db9,memory.heap-headroom-per-node=21.3; node-scheduler.max-splits-per-node=108.3; query.max-memory=25.2; query.max-memory-per-node=13.2; query.max-total-memory-per-node=16.4; task.concurrency=27.1; task.max-worker-threads=49.1,12832.98,tpch,100
iceberg,trino,db2,memory.heap-headroom-per-node=18; node-scheduler.max-splits-per-node=256; query.max-memory=32; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=32,8521.52,tpch,100
iceberg,trino,db6,memory.heap-headroom-per-node=20.5; node-scheduler.max-splits-per-node=191.7; query.max-memory=36.8; query.max-memory-per-node=16.0; query.max-total-memory-per-node=16.0; task.concurrency=51.7; task.max-worker-threads=26.6,15567.42,tpch,100
iceberg,trino,db1,memory.heap-headroom-per-node=15.8; node-scheduler.max-splits-per-node=215.3; query.max-memory=33.8; query.max-memory-per-node=17.0; query.max-total-memory-per-node=13.6; task.concurrency=33.6; task.max-worker-threads=15.4,7191.99,tpch,100
iceberg,trino,db15,memory.heap-headroom-per-node=20.8; node-scheduler.max-splits-per-node=203.4; query.max-memory=33.8; query.max-memory-per-node=19.9; query.max-total-memory-per-node=17.3; task.concurrency=44.1; task.max-worker-threads=20.6,7045.76,tpch,100
